sub_id,Trial,RT,Resp,Error,Fix_onset,Disp_onset,block,tid,tloc,fish_setsize,bird_setsize
18,1,774.236606084742,1,0,706009.803186656,706010.850271797,1,1,88,8,8
18,2,683.810083079152,0,0,706012.685592948,706013.73267116,1,0,72,16,4
18,3,598.234856850468,0,0,706015.556229014,706016.603298757,1,0,97,0,4
18,4,622.267677215859,0,0,706018.250383282,706019.297456875,1,0,61,0,16
18,5,730.082953698002,1,0,706021.109254895,706022.156328488,1,1,97,4,0
18,6,597.867217729799,0,0,706024.0975274,706025.144608306,1,0,89,4,0
18,7,578.047426301055,0,0,706026.803454589,706027.850532416,1,0,86,16,8
18,8,472.215476213023,0,0,706029.462317811,706030.509389863,1,0,73,4,16
18,9,510.35986491479,1,0,706032.121181802,706033.168250775,1,1,65,16,8
18,10,855.570701183751,1,0,706034.838863435,706035.885939722,1,1,95,16,16
18,11,700.251444126479,0,0,706037.874207607,706038.921280044,1,0,81,8,8
18,12,544.015976367518,1,0,706040.768369497,706041.815448094,1,1,82,8,16
18,13,715.105604962446,0,0,706043.474290143,706044.521360655,1,0,88,0,8
18,14,548.071940778755,0,0,706046.321394224,706047.368474361,1,0,65,4,16
18,15,539.116174448282,0,0,706049.08614483,706050.133209953,1,0,71,4,8
18,16,591.655463678762,1,0,706051.768535031,706052.81559592,1,1,92,0,16
18,17,575.087450095452,0,0,706054.533278323,706055.580358075,1,0,91,0,4
18,18,662.241407320835,0,0,706057.192149628,706058.239218216,1,0,62,8,4
18,19,627.822685288265,0,0,706060.027491567,706061.074581713,1,0,68,8,0
18,20,723.778808722273,0,0,706062.886352017,706063.933433694,1,0,81,16,16
18,21,691.426180070266,1,0,706065.76875061,706066.815808419,1,1,87,4,0
18,22,664.481888758019,0,0,706068.52172406,706069.568796883,1,0,96,0,0
18,23,749.986666953191,0,0,706071.404131122,706072.451199325,1,0,90,0,8
18,24,690.084585919976,1,0,706074.357131443,706075.404179628,1,1,64,4,8
18,25,541.710436344147,1,0,706077.286565517,706078.333637185,1,1,76,8,16
18,26,662.935109692626,1,0,706080.063081345,706081.110151858,1,1,81,0,0
18,27,1556.34247383568,0,0,706082.780772602,706083.827843115,1,0,81,8,16
18,28,762.755101197399,1,0,706086.45141067,706087.498479258,1,1,100,4,8
18,29,544.279290712439,1,0,706089.427928731,706090.475002708,1,1,92,16,8
18,30,634.996075415984,0,0,706092.227966534,706093.275038587,1,0,81,0,0
18,31,756.541422451846,0,0,706095.051539401,706096.098610684,1,0,88,16,0
18,32,489.300494431518,1,0,706097.992768725,706099.039912381,1,1,63,8,4
18,33,524.627343052998,0,0,706100.710453823,706101.757520101,1,0,94,0,16
18,34,559.381367405877,0,0,706103.45166744,706104.498738337,1,0,89,4,4
18,35,718.305412796326,1,0,706106.204655133,706107.251716407,1,1,99,16,4
18,36,612.096199532971,0,0,706109.05175498,706110.098822798,1,0,69,4,4
18,37,584.886284079403,0,0,706111.734154805,706112.781266894,1,0,66,8,8
18,38,453.999053454027,0,0,706114.451827199,706115.498908876,1,0,66,0,16
18,39,460.255463141948,0,0,706117.00481266,706118.051878553,1,0,65,8,0
18,40,616.270347265527,1,0,706119.710734845,706120.757799583,1,1,99,0,16
18,41,555.711905355565,1,0,706122.440208648,706123.487257987,1,1,98,0,0
18,42,756.134517141618,1,0,706125.169637794,706126.216719471,1,1,91,16,4
18,43,689.174149767496,0,0,706128.063806999,706129.110871738,1,0,95,0,0
18,44,806.894509936683,0,0,706130.863847882,706131.910919935,1,0,100,4,0
18,45,613.196807098575,1,0,706133.769801943,706134.816842428,1,1,88,16,0
18,46,583.261742605828,1,0,706136.62863044,706137.675712117,1,1,74,0,8
18,47,667.103867977858,0,0,706139.3345584,706140.381624678,1,0,64,4,4
18,48,422.270833863877,1,0,706142.193433478,706143.240494752,1,1,87,0,4
18,49,610.817739274353,1,0,706144.722864242,706145.769959392,1,1,74,8,0
18,50,785.809732042253,0,0,706147.417056621,706148.464110966,1,0,99,4,16
18,51,817.479437333532,1,0,706150.311201189,706151.358274011,1,1,61,16,16
18,52,566.151316859759,1,0,706153.299476387,706154.34654998,1,1,84,0,8
18,53,541.134532541037,1,0,706156.005401652,706157.05247794,1,1,73,0,4
18,54,644.808768061921,1,0,706158.687873465,706159.73487507,1,1,87,4,4
18,55,812.221620231867,0,0,706161.405564722,706162.452554008,1,0,81,8,8
18,56,780.36905778572,1,0,706164.476117559,706165.523192307,1,1,99,8,4
18,57,578.84237379767,1,0,706167.440876942,706168.48794476,1,1,94,4,0
18,58,707.472569658421,0,0,706170.182095564,706171.229158763,1,0,68,4,8
18,59,808.664952288382,0,0,706172.946894675,706173.993904364,1,0,81,16,8
