sub_id,Trial,RT,Resp,Error,Fix_onset,Disp_onset,block,tid,tloc,fish_setsize,bird_setsize
7,1,738.114958527149,0,0,124049.900908303,124050.948000193,1,0,97,8,0
7,2,522.566077343072,0,0,124052.736285907,124053.783375102,1,0,78,0,16
7,3,483.387830390711,0,0,124055.383421836,124056.430509106,1,0,76,4,16
7,4,650.694943789858,0,0,124057.995263005,124059.042347965,1,0,88,0,0
7,5,410.709125746507,0,0,124060.713035035,124061.760075725,1,0,87,8,8
7,6,614.357323778677,1,0,124063.289523699,124064.336615203,1,1,67,4,0
7,7,561.386310582748,1,0,124066.101370179,124067.148460914,1,1,74,0,0
7,8,709.567023572163,0,0,124068.713211732,124069.760300542,1,0,69,0,0
7,9,638.707644407987,1,0,124071.525058598,124072.572142403,1,1,96,16,0
7,10,607.713667515782,1,0,124074.383969251,124075.431050361,1,1,92,8,16
7,11,598.84724667063,1,0,124077.089925675,124078.13700871,1,1,81,4,16
7,12,456.146837896085,0,0,124079.913530403,124080.960613438,1,0,75,4,8
7,13,450.355870183557,0,0,124082.537129819,124083.584220553,1,0,75,8,16
7,14,499.674373786547,1,0,124085.160793138,124086.207828823,1,1,66,8,4
7,15,686.059767438564,0,0,124087.878464309,124088.92554465,1,0,93,16,4
7,16,481.820269356831,1,0,124090.678540223,124091.725631343,1,1,76,0,8
7,17,698.37736331101,1,0,124093.396294546,124094.443354869,1,1,61,4,4
7,18,571.766012973967,1,0,124096.231685239,124097.278728623,1,1,85,16,8
7,19,662.17640445393,1,0,124098.961132751,124100.008218866,1,1,82,16,4
7,20,742.080826341407,0,0,124101.702379701,124102.749466971,1,0,95,8,0
7,21,680.570609096321,1,0,124104.678937118,124105.726029393,1,1,80,16,4
7,22,478.773303359048,1,0,124107.596705607,124108.643753996,1,1,92,8,8
7,23,589.227457210654,1,0,124110.173214289,124111.220294244,1,1,82,0,0
7,24,505.801412436995,1,0,124112.96153465,124114.008613066,1,1,83,16,8
7,25,692.373127196333,0,0,124115.596895778,124116.643982663,1,0,89,4,4
7,26,478.427608410129,1,0,124118.455799117,124119.502883692,1,1,85,0,4
7,27,795.836389981559,0,0,124121.079454352,124122.126499276,1,0,77,8,16
7,28,564.812463140697,1,0,124124.079537888,124125.126578193,1,1,99,16,0
7,29,616.936177262687,1,0,124126.797222533,124127.844366007,1,1,64,0,4
7,30,586.04383005877,1,0,124129.609055925,124130.656147044,1,1,84,16,16
7,31,451.188540726434,1,0,124132.420910875,124133.46799468,1,1,78,0,8
7,32,526.778320170706,0,0,124135.056306264,124136.103370051,1,0,96,0,4
7,33,583.491923855036,1,0,124137.797527807,124138.844617002,1,1,83,4,0
7,34,810.806366891484,0,0,124140.562325514,124141.609400465,1,0,94,4,4
7,35,792.158088006545,0,0,124143.597699192,124144.644780687,1,0,63,4,4
7,36,800.822019387851,0,0,124146.633078644,124147.680174768,1,0,100,16,16
7,37,656.922457259498,1,0,124149.691988065,124150.739078029,1,1,91,0,16
7,38,500.061644503148,1,0,124152.40971313,124153.45680348,1,1,74,8,8
7,39,604.394149151631,1,0,124155.021550064,124156.068634639,1,1,86,4,0
7,40,718.724089951138,0,0,124157.798108713,124158.845195983,1,0,81,4,0
7,41,551.621775797685,0,0,124160.739368675,124161.786451325,1,0,97,16,4
7,42,510.054846105049,1,0,124163.421789741,124164.46892975,1,1,85,8,8
7,43,507.077173053403,1,0,124165.986574821,124167.033657086,1,1,63,8,16
7,44,469.460712760338,1,0,124168.610177701,124169.65727036,1,1,64,4,8
7,45,615.934508838109,0,0,124171.339667944,124172.386757523,1,0,62,0,16
7,46,807.026820169995,0,0,124174.139750017,124175.186896186,1,0,96,16,4
7,47,586.855327754165,0,0,124177.045711754,124178.092799023,1,0,77,8,16
7,48,751.301796233747,1,0,124179.775203536,124180.822287341,1,1,100,4,16
7,49,605.246452716528,1,0,124182.728230599,124183.775316329,1,1,88,0,4
7,50,533.42813582276,1,0,124185.481246191,124186.528332306,1,1,65,8,4
7,51,790.099701756844,0,0,124188.269563858,124189.316646508,1,0,79,4,4
7,52,609.342437353916,1,0,124191.246116271,124192.2932097,1,1,98,8,0
