sub_id,Trial,RT,Resp,Error,Fix_onset,Disp_onset,block,tid,tloc,fish_setsize,bird_setsize
38,1,972.897961968556,1,0,1811192.4081876,1811193.45525677,1,1,75,16,0
38,2,994.837272213772,1,0,1811195.51413078,1811196.5612373,1,1,81,16,8
38,3,814.65937406756,1,0,1811198.65532137,1811199.70238747,1,1,69,8,4
38,4,719.428886426613,1,0,1811201.54946635,1811202.59654284,1,1,72,8,8
38,5,961.68366423808,0,0,1811204.36126702,1811205.40833196,1,0,79,4,4
38,6,811.926536029205,0,0,1811207.52600721,1811208.57312335,1,0,93,8,8
38,7,886.670941254124,1,0,1811210.57309756,1811211.62016789,1,1,65,4,8
38,8,839.515533065423,1,0,1811213.6201933,1811214.66725593,1,1,71,8,0
38,9,1226.80935775861,0,0,1811216.690814,1811217.7379159,1,0,97,16,16
38,10,846.709683770314,0,0,1811219.98497691,1811221.0320357,1,0,81,4,8
38,11,919.975838623941,1,0,1811223.00853345,1811224.055593,1,1,75,0,0
38,12,869.401977397501,1,0,1811226.03209036,1811227.07916724,1,1,69,0,4
38,13,831.53259800747,0,0,1811229.0321227,1811230.07920227,1,0,94,4,0
38,14,911.467046709731,1,0,1811232.07921921,1811233.1262853,1,1,71,16,4
38,15,957.819425966591,0,0,1811235.20866926,1811236.25573228,1,0,69,0,8
38,16,882.656183559448,1,0,1811238.30283418,1811239.34988333,1,1,82,4,0
38,17,752.134014619514,0,0,1811241.32637877,1811242.37345103,1,0,69,4,4
38,18,762.666161637753,1,0,1811244.2087732,1811245.25582736,1,1,71,0,4
38,19,947.994067566469,1,0,1811247.17349692,1811248.22061036,1,1,95,16,0
38,20,785.37385375239,0,0,1811250.19706384,1811251.24413417,1,0,87,0,0
38,21,620.847313432023,0,0,1811253.22073317,1811254.2677165,1,0,68,0,8
38,22,1000.92619960196,1,0,1811256.07948753,1811257.12655709,1,1,89,16,0
38,23,811.281341360882,0,0,1811259.25599405,1811260.30305707,1,0,78,4,8
38,24,1478.52070187218,0,0,1811262.17366899,1811263.2207374,1,0,62,8,4
38,25,901.593567803502,0,0,1811265.82077066,1811266.86783676,1,0,98,0,0
38,26,746.248346520588,0,0,1811268.80903975,1811269.85611085,1,0,88,16,4
38,27,626.666768221185,0,0,1811271.73850758,1811272.78555212,1,0,76,0,16
38,28,646.452205488458,0,0,1811274.5149877,1811275.56184709,1,0,69,0,16
38,29,734.558622119948,0,0,1811277.38559,1811278.43268921,1,0,73,4,0
38,30,539.659431669861,0,0,1811280.35040303,1811281.39741408,1,0,76,0,16
38,31,783.00595888868,1,0,1811283.02095922,1811284.06803032,1,1,86,0,4
38,32,974.89167470485,1,0,1811285.91511266,1811286.96218068,1,1,88,4,16
38,33,911.765391472727,1,0,1811289.11514453,1811290.16222372,1,1,79,0,8
38,34,1245.45032251626,0,0,1811292.24459112,1811293.29166415,1,0,65,4,4
38,35,932.818906381726,0,0,1811295.72698493,1811296.77406027,1,0,91,8,0
38,36,760.602385737002,0,0,1811298.8093712,1811299.8564423,1,0,77,8,0
38,37,860.811188584194,1,0,1811301.62116994,1811302.66822372,1,1,97,4,4
38,38,958.775669103488,0,0,1811304.63296245,1811305.68003856,1,0,79,0,8
38,39,1002.6465903502,1,0,1811307.72714816,1811308.77419193,1,1,61,8,4
38,40,1057.61054647155,1,0,1811310.82126264,1811311.86833875,1,1,98,4,16
38,41,1087.83537126146,0,0,1811314.09195025,1811315.138969,1,0,81,0,4
38,42,934.496181318536,1,0,1811317.37428409,1811318.42135172,1,1,71,0,16
38,43,637.474162271246,1,0,1811320.37431219,1811321.42138637,1,1,87,16,4
38,44,1080.35211521201,0,0,1811323.12730237,1811324.17435346,1,0,64,8,16
38,45,1038.23584620841,1,0,1811326.32732347,1811327.37438995,1,1,93,8,16
38,46,762.86595617421,1,0,1811329.60971312,1811330.65679269,1,1,86,16,0
38,47,845.352311385795,1,0,1811332.49209946,1811333.53917018,1,1,80,8,16
38,48,731.009281938896,1,0,1811335.52743272,1811336.57448842,1,1,96,16,16
38,49,1070.41742745787,0,0,1811338.49217107,1811339.539231,1,0,90,16,16
38,50,849.581492366269,1,0,1811341.65690317,1811342.70397851,1,1,66,8,4
38,51,718.886091373861,1,0,1811344.66871378,1811345.71577795,1,1,96,0,8
38,52,870.314334984869,0,0,1811347.55109819,1811348.59815967,1,0,69,4,4
38,53,1394.58265900612,0,0,1811350.56290341,1811351.6099645,1,0,91,4,16
38,54,1377.53042811528,0,0,1811354.17470108,1811355.22176871,1,0,88,16,16
38,55,2165.3033751063,0,0,1811357.65708719,1811358.70415713,1,0,81,16,8
38,56,715.7498144079,0,0,1811362.03361019,1811363.08068591,1,0,89,8,8
38,57,753.773948177695,1,0,1811364.93960696,1811365.9865926,1,1,67,4,16
38,58,971.108278492466,1,0,1811367.8101442,1811368.85720991,1,1,83,4,8
38,59,743.794990470633,0,0,1811370.84547938,1811371.89254009,1,0,75,16,8
38,60,838.864179328084,1,0,1811373.70437695,1811374.75140262,1,1,70,4,0
38,61,891.605755779892,0,0,1811376.69259406,1811377.73966324,1,0,75,16,4
38,62,684.67923020944,0,0,1811379.64557031,1811380.6926391,1,0,87,8,16
38,63,624.419751111418,0,0,1811382.58681449,1811383.63384594,1,0,77,16,16
38,64,928.447674727067,1,0,1811385.30445063,1811386.35152635,1,1,93,8,4
38,65,755.893543362617,0,0,1811388.42213165,1811389.46921045,1,0,76,0,0
38,66,891.389407683164,1,0,1811391.30452492,1811392.35158871,1,1,78,16,8
38,67,812.05857754685,0,0,1811394.43397036,1811395.48104146,1,0,71,0,4
38,68,906.780531862751,0,0,1811397.43400539,1811398.48111691,1,0,80,8,0
38,69,919.541602721438,1,0,1811400.42227255,1811401.4693398,1,1,98,16,8
38,70,1037.6526301261,0,0,1811403.57524988,1811404.62231944,1,0,62,8,8
38,71,857.545564882457,0,0,1811406.68116842,1811407.72823837,1,0,96,8,16
38,72,809.219490503892,0,0,1811409.65767271,1811410.70474381,1,0,81,0,16
38,73,765.869036782533,1,0,1811412.70476114,1811413.75183801,1,1,73,4,16
38,74,796.43878666684,1,0,1811415.57538885,1811416.62245533,1,1,89,4,0
38,75,1178.34585253149,0,0,1811418.57542388,1811419.62248651,1,0,68,16,4
38,76,882.250434486195,1,0,1811421.97545375,1811423.02252716,1,1,86,16,0
38,77,575.040423544124,1,0,1811424.96372515,1811426.01084552,1,1,97,8,8
38,78,622.907239478081,1,0,1811427.62257659,1811428.66964962,1,1,78,4,8
38,79,637.743635103107,1,0,1811430.36381738,1811431.41089965,1,1,89,0,0
38,80,633.044416550547,1,0,1811433.1285227,1811434.17558764,1,1,73,8,0
38,81,1421.38864542358,0,0,1811454.77583186,1811455.82290027,2,0,75,4,4
38,82,686.614813981578,0,0,1811458.38765532,1811459.4346987,2,0,66,16,0
38,83,656.406927388161,0,0,1811461.32883675,1811462.37591093,2,0,95,0,16
38,84,594.443995971233,1,0,1811464.18769774,1811465.23476114,2,1,69,16,0
38,85,502.165773883462,1,0,1811467.01125743,1811468.05833007,2,1,87,0,8
38,86,665.206749923527,0,0,1811469.68188021,1811470.72894477,2,0,74,16,4
38,87,833.198708714917,0,0,1811472.43485577,1811473.4819184,2,0,96,8,0
38,88,642.304652370512,1,0,1811475.38782393,1811476.43489349,2,1,98,8,16
38,89,679.093446582556,0,0,1811478.17608963,1811479.2231565,2,0,61,8,4
38,90,1262.12182664312,1,0,1811480.98788529,1811482.03495524,2,1,87,16,8
38,91,1551.62632814609,1,0,1811484.31734297,1811485.36440522,2,1,82,16,8
38,92,964.266367256641,1,0,1811487.9997367,1811489.0467951,2,1,77,8,16
38,93,683.191356016323,1,0,1811491.19976511,1811492.24683391,2,1,82,16,16
38,94,747.106809634715,1,0,1811494.09391971,1811495.14098889,2,1,80,16,16
38,95,789.921397576109,0,0,1811497.03513656,1811498.08219765,2,0,77,4,16
38,96,835.357954958454,1,0,1811500.01163546,1811501.05869501,2,1,84,4,8
38,97,833.791548851877,1,0,1811502.94108983,1811503.98814938,2,1,96,16,8
38,98,1097.5259935949,0,0,1811505.98816593,1811507.03524165,2,0,73,16,0
38,99,904.563541756943,1,0,1811509.34114588,1811510.38821813,2,1,64,8,0
38,100,713.562081102282,1,0,1811512.34117629,1811513.38824854,2,1,61,8,8
38,101,798.328174976632,1,0,1811515.17650654,1811516.22357187,2,1,77,4,8
38,102,1385.45369450003,0,0,1811518.1412522,1811519.18832099,2,0,90,16,4
38,103,624.740038532764,0,0,1811521.7648162,1811522.81189539,2,0,78,0,4
38,104,929.923614952713,1,0,1811524.5766161,1811525.62368374,2,1,62,16,16
38,105,862.063851673156,0,0,1811527.57664651,1811528.62371877,2,0,99,0,16
38,106,675.993741024286,0,0,1811530.6237461,1811531.67081528,2,0,66,4,4
38,107,925.755642587319,0,0,1811533.37672089,1811534.42378275,2,0,79,8,4
38,108,1727.10654768161,0,0,1811536.54151998,1811537.58851948,2,0,92,4,16
38,109,946.50503853336,1,0,1811540.4709089,1811541.51797692,2,1,71,0,8
38,110,633.437461685389,1,0,1811543.67094771,1811544.71801534,2,1,86,8,4
38,111,1169.62456214242,0,0,1811546.43568305,1811547.48277532,2,0,82,16,4
38,112,1016.5321319364,1,0,1811549.82397662,1811550.87104156,2,1,99,4,0
38,113,1179.65240986086,1,0,1811552.98869795,1811554.03576866,2,1,69,8,8
38,114,1064.6233803127,0,0,1811556.34168251,1811557.38874745,2,0,79,4,16
38,115,1387.65028188936,0,0,1811559.49465791,1811560.54172555,2,0,100,4,8
38,116,846.830946626142,0,0,1811563.00062404,1811564.04764663,2,0,83,0,0
38,117,1077.56615267135,1,0,1811565.94178699,1811566.98886079,2,1,71,4,8
38,118,1113.85064781643,1,0,1811569.27123966,1811570.31830768,2,1,69,0,8
38,119,995.636065956205,0,0,1811572.55362007,1811573.60069772,2,0,74,0,0
38,120,803.276848280802,0,0,1811575.69484454,1811576.7419141,2,0,92,4,0
38,121,1031.68419538997,1,0,1811578.61252372,1811579.6595929,2,1,71,8,8
38,122,829.361032927409,0,0,1811581.7537301,1811582.80080043,2,0,62,4,16
38,123,577.319007599726,0,0,1811584.70670442,1811585.75378976,2,0,76,0,0
38,124,589.156942209229,0,0,1811587.44791172,1811588.4949809,2,0,64,16,0
38,125,948.252376168966,1,0,1811590.21265476,1811591.25972278,2,1,84,16,8
38,126,1561.59835704602,1,0,1811593.28332204,1811594.33034657,2,1,91,4,4
38,127,713.582099415362,1,0,1811597.08332058,1811598.13038629,2,1,90,8,16
38,128,1022.79852656648,1,0,1811599.8480617,1811600.89513203,2,1,100,16,16
38,129,1118.74350183643,0,0,1811603.03632801,1811604.08339141,2,0,83,16,16
38,130,1245.28748402372,0,0,1811606.28342598,1811607.33049362,2,0,69,8,16
38,131,811.941549414769,0,0,1811609.70699276,1811610.75406617,2,0,79,0,4
38,132,1370.37631357089,0,0,1811612.6834905,1811613.73056315,2,0,74,4,0
38,133,616.769806947559,0,0,1811616.15412491,1811617.20118754,2,0,90,4,8
38,134,892.767183016986,0,0,1811618.90713511,1811619.95416348,2,0,86,16,4
38,135,736.115019069985,0,0,1811621.88360476,1811622.93067086,2,0,91,0,8
38,136,1627.04287515953,0,0,1811624.68363294,1811625.73070481,2,0,62,8,16
38,137,1008.86601931416,1,0,1811628.42485025,1811629.47196215,2,1,65,8,0
38,138,2686.43388221972,0,0,1811631.56606933,1811632.61313311,2,0,79,0,4
38,139,893.852773122489,0,0,1811636.38964172,1811637.43677172,2,0,94,16,4
38,140,902.018949855119,1,0,1811639.44850879,1811640.4955722,2,1,65,0,4
38,141,918.085680343211,1,0,1811642.55442695,1811643.60149343,2,1,88,4,0
38,142,949.410723755136,0,0,1811645.71916715,1811646.76626096,2,0,65,16,0
38,143,651.331986766309,0,0,1811648.87214255,1811649.91920787,2,0,73,4,0
38,144,878.370412858203,1,0,1811651.62510848,1811652.67219382,2,1,89,0,0
38,145,1206.22434024699,1,0,1811654.57809512,1811655.62516122,2,1,81,4,4
38,146,718.914193334058,1,0,1811657.8605429,1811658.90755588,2,1,83,0,16
38,147,878.563663456589,1,0,1811660.75462821,1811661.8016997,2,1,92,16,8
38,148,1227.52961982042,0,0,1811663.75466863,1811664.80173319,2,0,99,4,16
38,149,564.630309352651,0,0,1811667.0605871,1811668.10765435,2,0,76,0,16
38,150,1042.63248527423,1,0,1811669.75472984,1811670.8018021,2,1,84,8,4
38,151,749.946281546727,1,0,1811672.87241202,1811673.91949583,2,1,89,8,8
38,152,834.443287691101,1,0,1811675.70774574,1811676.75481376,2,1,74,0,16
38,153,1107.45028685778,0,0,1811678.7195394,1811679.76660781,2,0,62,4,4
38,154,659.758012508973,0,0,1811681.97844798,1811683.02546942,2,0,65,8,8
38,155,898.861115099862,1,0,1811684.89608288,1811685.94315052,2,1,65,8,4
38,156,1438.95364436321,0,0,1811687.94317593,1811688.99025627,2,0,80,0,0
38,157,791.341518750414,1,0,1811691.47263083,1811692.51969269,2,1,75,0,4
38,158,1055.21878390573,1,0,1811694.41383459,1811695.46091224,2,1,92,8,0
38,159,956.925161648542,1,0,1811697.60211168,1811698.64917739,2,1,96,8,0
38,160,640.265129273757,1,0,1811700.73157367,1811701.778644,2,1,64,0,8
38,161,1263.91535997391,0,0,1811725.7906594,1811726.83774667,3,0,93,4,8
38,162,1023.10303063132,0,0,1811729.20248063,1811730.24954172,3,0,64,16,16
38,163,661.631617462263,1,0,1811732.48486605,1811733.53191713,3,1,98,8,8
38,164,719.3538188003,0,0,1811735.367247,1811736.41431233,3,0,83,4,8
38,165,779.308408964425,1,0,1811738.21433627,1811739.26140314,3,1,63,16,0
38,166,1038.42409187928,0,0,1811741.22613455,1811742.27320758,3,0,85,8,4
38,167,527.732186252251,0,0,1811744.35558153,1811745.40270383,3,0,65,8,0
38,168,653.049682965502,0,0,1811747.12031802,1811748.16738951,3,0,70,0,0
38,169,1003.63593967631,1,0,1811750.00276712,1811751.0497797,3,1,78,4,4
38,170,1865.68633420393,1,0,1811753.26159831,1811754.30864516,3,1,74,16,8
38,171,1407.26365800947,0,0,1811757.19101996,1811758.23809183,3,0,100,16,4
38,172,639.452861621976,1,0,1811760.69693873,1811761.74401715,3,1,65,0,8
38,173,1705.9406240005,1,0,1811763.47345272,1811764.52051728,3,1,87,16,4
38,174,898.63167819567,0,0,1811767.26173266,1811768.30879645,3,0,76,0,4
38,175,2785.75034555979,1,0,1811770.28529151,1811771.33241843,3,1,94,0,0
38,176,635.982438689098,1,0,1811775.23829008,1811776.28541931,3,1,81,0,0
38,177,1057.98472836614,0,0,1811778.03832288,1811779.08538859,3,0,65,8,4
38,178,897.798237856478,1,0,1811781.28546127,1811782.33248425,3,1,83,16,0
38,179,1248.86454129592,0,0,1811784.40309803,1811785.45016797,3,0,73,16,4
38,180,833.705317461863,1,0,1811787.88549607,1811788.93256487,3,1,86,4,4
38,181,642.291948664933,1,0,1811790.82669983,1811791.87377132,3,1,67,16,4
38,182,637.462998507544,1,0,1811793.57965883,1811794.62675303,3,1,94,0,16
38,183,734.517815988511,0,0,1811796.39147221,1811797.43854023,3,0,88,8,0
38,184,887.835063040257,1,0,1811799.35627022,1811800.40328358,3,1,90,8,8
38,185,730.110783129931,0,0,1811802.37977286,1811803.42684742,3,0,77,0,8
38,186,828.026758274063,1,0,1811805.27392361,1811806.32099586,3,1,62,8,16
38,187,1024.6413347777,1,0,1811808.16807782,1811809.21515508,3,1,61,0,16
38,188,981.957248412073,0,0,1811811.27403679,1811812.32107016,3,0,76,4,16
38,189,1112.37624729984,0,0,1811814.30932385,1811815.35638648,3,0,82,0,16
38,190,854.597148951143,1,0,1811817.66230726,1811818.7093799,3,1,92,8,4
38,191,1209.62393051013,0,0,1811820.72116355,1811821.76822888,3,0,71,16,0
38,192,907.205143710598,1,0,1811824.06237255,1811825.10944134,3,1,71,16,8
38,193,1041.55497951433,0,0,1811827.13301211,1811828.18006589,3,0,72,0,4
38,194,1285.8758426737,0,0,1811830.39185871,1811831.43893096,3,0,93,8,0
38,195,787.410297198221,1,0,1811833.87425021,1811834.92131746,3,1,79,0,8
38,196,693.563744192943,1,0,1811836.74491564,1811837.79193863,3,1,72,4,4
38,197,780.162252252921,1,0,1811839.61549831,1811840.66256634,3,1,88,16,0
38,198,1566.86539272778,0,0,1811842.61552796,1811843.66259521,3,0,75,16,16
38,199,1143.72515841387,0,0,1811846.25086252,1811847.2979317,3,0,82,0,8
38,200,665.296830702573,0,0,1811849.53325525,1811850.5803279,3,0,84,16,16
38,201,794.366926886141,0,0,1811852.43916849,1811853.48624074,3,0,81,16,8
38,202,906.948374817148,1,0,1811855.32160179,1811856.36862978,3,1,82,0,4
38,203,1125.82216411829,0,0,1811858.32159679,1811859.36869368,3,0,61,16,16
38,204,676.938820164651,1,0,1811861.6392762,1811862.68634961,3,1,67,4,0
38,205,1024.9758658465,0,0,1811864.53342733,1811865.58050613,3,0,93,8,8
38,206,864.698524586856,1,0,1811867.62758031,1811868.67464603,3,1,85,8,16
38,207,894.55532678403,0,0,1811870.58055271,1811871.6276242,3,0,84,4,4
38,208,1904.26250221208,0,0,1811873.55706239,1811874.60413157,3,0,86,4,0
38,209,835.834151599556,1,0,1811877.59240605,1811878.63950486,3,1,93,0,0
38,210,740.6402353663,1,0,1811880.48654794,1811881.53362097,3,1,92,8,4
38,211,1728.81384962238,0,0,1811883.34541201,1811884.39247542,3,0,67,0,0
38,212,874.232467729598,0,0,1811887.18074535,1811888.22781337,3,0,93,4,4
38,213,866.572899278253,0,0,1811890.29842599,1811891.34549709,3,0,69,8,0
38,214,1046.70190764591,1,0,1811893.31023736,1811894.357305,3,1,85,0,8
38,215,1019.11483518779,0,0,1811896.52202633,1811897.56910128,3,0,75,0,4
38,216,858.148028841242,1,0,1811899.73382684,1811900.78090103,3,1,66,16,16
38,217,1075.88656805456,1,0,1811902.78092528,1811903.82799715,3,1,64,4,16
38,218,898.651311406866,0,0,1811906.07511591,1811907.12220857,3,0,61,0,4
38,219,489.15486340411,0,0,1811909.0986351,1811910.14570582,3,0,65,8,4
38,220,620.512397261336,0,0,1811911.66337591,1811912.71044509,3,0,93,0,16
38,221,512.43653241545,0,0,1811914.51046557,1811915.55754206,3,0,83,8,16
38,222,706.025700550526,1,0,1811917.14579243,1811918.1928643,3,1,74,4,16
38,223,854.6133171767,1,0,1811920.08701197,1811921.13408115,3,1,99,4,8
38,224,795.579553814605,0,0,1811923.13410271,1811924.18116649,3,0,77,8,0
38,225,1210.0962777622,1,0,1811926.11060161,1811927.15767425,3,1,91,4,8
38,226,767.314180033281,0,0,1811929.52240821,1811930.56947546,3,0,87,8,8
38,227,828.306624898687,0,0,1811932.38126304,1811933.42832952,3,0,96,16,4
38,228,834.824013989419,1,0,1811935.45189645,1811936.49895215,3,1,90,4,0
38,229,1016.29191637039,0,0,1811938.42838842,1811939.4754526,3,0,61,8,8
38,230,863.065135199577,1,0,1811941.58136768,1811942.62843839,3,1,78,16,8
38,231,927.04564682208,1,0,1811944.62845956,1811945.67552913,3,1,97,4,0
38,232,615.476723061875,1,0,1811947.7461479,1811948.79321785,3,1,76,16,8
38,233,899.962873430923,0,0,1811950.42852393,1811951.47565124,3,0,74,8,16
38,234,746.155570959672,0,0,1811953.5462065,1811954.59327606,3,0,84,0,16
38,235,1114.32722955942,1,0,1811956.51094638,1811957.55801671,3,1,82,4,16
38,236,667.146183317527,1,0,1811959.85216846,1811960.89923879,3,1,100,4,8
38,237,631.651242962107,1,0,1811962.73454749,1811963.78165901,3,1,83,8,16
38,238,1077.77287671342,0,0,1811965.5934054,1811966.64051847,3,0,100,4,0
38,239,1018.45270232297,1,0,1811968.87579236,1811969.92286577,3,1,100,16,0
38,240,868.021507514641,1,0,1811972.00524626,1811973.05231198,3,1,91,4,16
38,241,1222.39077603444,0,0,1811984.18185673,1811985.22892552,4,0,90,4,0
38,242,836.458173347637,1,0,1811987.48777558,1811988.5348386,4,1,70,0,4
38,243,1369.78578357957,1,0,1811990.55840206,1811991.60547008,4,1,92,8,16
38,244,845.278398832306,0,0,1811994.09961521,1811995.14668747,4,0,65,4,8
38,245,1377.78142257594,1,0,1811997.07612143,1811998.12319792,4,1,96,16,4
38,246,744.951797882095,0,0,1812000.6761774,1812001.72323426,4,0,93,0,8
38,247,666.024792008102,1,0,1812003.48796075,1812004.53502684,4,1,66,4,0
38,248,890.255697770044,0,0,1812006.35858037,1812007.40564378,4,0,61,4,8
38,249,1273.43082497828,0,0,1812009.46449853,1812010.51156501,4,0,98,16,0
38,250,1259.8725000862,1,0,1812012.88806607,1812013.93516836,4,1,97,8,16
38,251,601.005270611495,1,0,1812016.20574741,1812017.25281504,4,1,74,16,16
38,252,742.589292582124,0,0,1812018.98226102,1812020.0293198,4,0,87,16,0
38,253,682.993486057967,0,0,1812021.95875568,1812023.00581832,4,0,63,4,16
38,254,1135.01118193381,1,0,1812024.8058515,1812025.85292068,4,1,92,0,16
38,255,1024.59975890815,0,0,1812028.10000479,1812029.14707012,4,0,85,0,0
38,256,814.865328138694,1,0,1812031.31180877,1812032.35888488,4,1,81,8,4
38,257,628.622369840741,1,0,1812034.30007362,1812035.34714241,4,1,62,4,0
38,258,2048.37186820805,0,0,1812037.04128361,1812038.08835125,4,0,99,16,4
38,259,1816.55184202828,1,0,1812041.26489781,1812042.3119335,4,1,74,0,8
38,260,739.573893370107,1,0,1812045.31196776,1812046.35903155,4,1,77,0,16
38,261,1246.92972749472,1,0,1812048.13553168,1812049.18258931,4,1,86,4,0
38,262,939.804792869836,1,0,1812051.48850508,1812052.53564086,4,1,81,16,16
38,263,905.594082083553,1,0,1812054.58268309,1812055.6297642,4,1,67,4,8
38,264,1394.32627498172,1,0,1812057.55917391,1812058.6062323,4,1,74,4,16
38,265,1341.0380538553,0,0,1812061.05332596,1812062.10039437,4,0,88,0,0
38,266,1625.8229338564,0,0,1812064.65336115,1812065.70043495,4,0,83,0,16
38,267,887.55404157564,1,0,1812068.42987591,1812069.47694393,4,1,82,4,16
38,268,2337.59919763543,0,0,1812071.50050586,1812072.54756926,4,0,75,8,16
38,269,1199.50523157604,0,0,1812076.04172824,1812077.08880551,4,0,98,4,4
38,270,1228.19868195802,0,0,1812079.32412059,1812080.37119169,4,0,73,8,0
38,271,871.46459822543,0,0,1812082.64180732,1812083.68887726,4,0,84,8,8
38,272,999.401369364932,0,0,1812085.583013,1812086.6418616,4,0,83,0,8
38,273,1195.01774176024,1,0,1812088.73599109,1812089.78306489,4,1,82,16,8
38,274,784.530789125711,1,0,1812092.11250255,1812093.15957519,4,1,94,8,8
38,275,676.15311499685,1,0,1812095.08900723,1812096.13607948,4,1,95,4,4
38,276,915.775529807433,1,0,1812097.87728255,1812098.92434595,4,1,70,8,4
38,277,1399.91475315765,0,0,1812100.94790209,1812101.99497127,4,0,87,0,4
38,278,921.711627626792,1,0,1812104.47735084,1812105.52442271,4,1,68,16,0
38,279,958.250197349116,0,0,1812107.61856491,1812108.66563486,4,0,74,4,0
38,280,609.914422035217,0,0,1812110.80683739,1812111.85390541,4,0,92,4,4
38,281,653.175949817523,0,0,1812113.57157157,1812114.61863883,4,0,67,0,4
38,282,774.005956714973,0,0,1812116.45396061,1812117.50102555,4,0,85,8,16
