sub_id,Trial,RT,Resp,Error,Fix_onset,Disp_onset,block,tid,tloc,fish_setsize,bird_setsize
20,1,465.665838681161,1,0,1638460.64446264,1638461.69154182,1,1,77,8,4
20,2,571.897740941495,0,0,1638463.25631805,1638464.30333179,1,0,70,8,16
20,3,523.113563191146,1,0,1638465.9268854,1638466.97395457,1,1,98,4,8
20,4,495.158852776513,0,0,1638468.67986211,1638469.72692898,1,0,74,8,0
20,5,477.091865148395,0,0,1638471.2328362,1638472.27990384,1,0,85,16,16
20,6,644.654207630083,0,0,1638473.80932987,1638474.85640405,1,0,79,16,8
20,7,533.069038530812,1,0,1638476.58584078,1638477.63290726,1,1,79,0,4
20,8,688.451600959525,1,0,1638479.25644971,1638480.30352735,1,1,99,8,8
20,9,769.699151627719,0,0,1638482.02125627,1638483.06826347,1,0,66,4,16
20,10,711.923440918326,1,0,1638484.92712176,1638485.97418671,1,1,92,4,0
20,11,615.215088007972,1,0,1638487.80950503,1638488.85657613,1,1,72,8,4
20,12,601.491229841486,0,0,1638490.66835947,1638491.71543327,1,0,87,16,16
20,13,584.797397488728,1,0,1638493.49192263,1638494.53901644,1,1,98,16,0
20,14,547.143981093541,0,0,1638496.31547731,1638497.36256304,1,0,75,4,0
20,15,694.877754431218,0,0,1638499.10375494,1638500.15082219,1,0,81,16,16
20,16,476.976376725361,1,0,1638501.95085153,1638502.99793187,1,1,63,0,4
20,17,494.301544735208,1,0,1638504.52735366,1638505.57442053,1,1,61,16,8
20,18,515.810853568837,0,0,1638507.20973931,1638508.25686238,1,0,79,0,8
20,19,524.008982116356,0,0,1638509.8215366,1638510.86860154,1,0,76,4,8
20,20,675.692839780822,0,0,1638512.44509636,1638513.49215938,1,0,72,16,0
20,21,549.228929448873,0,0,1638515.23336475,1638516.2804347,1,0,81,8,0
20,22,576.185051118955,0,0,1638517.92751096,1638518.9745863,1,0,95,8,8
20,23,637.117056874558,0,0,1638520.63342427,1638521.6804996,1,0,80,0,8
20,24,594.084965763614,0,0,1638523.32758048,1638524.37465312,1,0,67,16,4
20,25,726.273630512878,0,0,1638526.13937923,1638527.18644841,1,0,62,0,8
20,26,543.044146848843,1,0,1638529.09236664,1638530.1394235,1,1,63,4,0
20,27,474.521480733529,0,0,1638531.82180222,1638532.86886986,1,0,76,0,4
20,28,624.215860385448,1,0,1638534.5041794,1638535.5512532,1,1,68,8,4
20,29,442.715236218646,0,0,1638537.37480326,1638538.4218709,1,0,63,0,16
20,30,748.169055208564,0,0,1638539.90424392,1638540.95131695,1,0,70,16,8
20,31,592.147072311491,1,0,1638542.90428588,1638543.9513539,1,1,95,4,8
20,32,577.136289561167,0,0,1638545.71607693,1638546.76314264,1,0,69,4,16
20,33,508.706399006769,0,0,1638548.3984772,1638549.44559373,1,0,72,4,4
20,34,400.633228709921,0,0,1638551.13967449,1638552.18673405,1,0,65,8,16
20,35,546.33363825269,0,0,1638553.63382694,1638554.68089727,1,0,92,0,0
20,36,337.677867850289,0,0,1638556.39856536,1638557.44563492,1,0,84,16,0
20,37,588.872209424153,0,0,1638558.91624046,1638559.96331425,1,0,78,16,4
20,38,480.868717189878,0,0,1638561.62215338,1638562.66922294,1,0,83,4,8
20,39,687.440693611279,1,0,1638564.33983264,1638565.38690374,1,1,84,4,16
20,40,524.894392350689,0,0,1638567.1163447,1638568.16341311,1,0,61,4,4
20,41,702.370634535328,0,0,1638569.84580261,1638570.89285177,1,0,91,16,16
20,42,443.063240963966,1,0,1638572.63404752,1638573.68112055,1,1,74,0,4
20,43,448.181681800634,1,0,1638575.24585096,1638576.29291013,1,1,94,8,16
20,44,610.907759750262,0,0,1638577.89294031,1638578.94001565,1,0,100,16,0
20,45,484.445389360189,0,0,1638580.7165,1638581.76357187,1,0,63,0,4
20,46,508.15744465217,1,0,1638583.39888334,1638584.44595598,1,1,75,16,8
20,47,497.690356103703,0,0,1638586.12833316,1638587.17540657,1,0,81,0,16
20,48,459.516087546945,1,0,1638588.88130371,1638589.92837597,1,1,67,0,0
20,49,1095.53742362186,1,0,1638591.52839922,1638592.57549534,1,1,77,0,16
20,50,435.277020558715,1,0,1638594.86960706,1638595.91670049,1,1,64,4,16
20,51,457.649411633611,1,0,1638597.43434864,1638598.48142128,1,1,87,4,0
20,52,602.890177862719,1,0,1638600.05796576,1638601.10498412,1,1,83,4,16
20,53,456.106872996315,1,0,1638602.71676601,1638603.76383441,1,1,67,8,0
20,54,677.632273407653,1,0,1638605.35208748,1638606.39916089,1,1,88,8,4
20,55,428.031670162454,0,0,1638608.28153954,1638609.32860063,1,0,81,16,16
20,56,588.999246479943,1,0,1638610.88157164,1638611.92864852,1,1,90,4,4
20,57,760.422747582197,0,0,1638613.70513403,1638614.75219781,1,0,90,16,4
20,58,555.056083714589,1,0,1638616.68163793,1638617.72871558,1,1,69,4,0
20,59,580.885039409623,0,0,1638619.32873075,1638620.37580146,1,0,72,8,16
20,60,411.568814888597,1,0,1638622.02288119,1638623.0699827,1,1,75,4,4
20,61,578.616464277729,1,0,1638624.57584335,1638625.62292022,1,1,91,0,8
20,62,622.063928516582,0,0,1638627.35236273,1638628.39941997,1,0,98,4,4
20,63,641.343928175047,1,0,1638630.07003198,1638631.11712579,1,1,71,8,8
20,64,484.516607131809,1,0,1638632.8818365,1638633.9289049,1,1,62,0,0
20,65,594.370221951976,1,0,1638635.51715836,1638636.56422561,1,1,81,0,0
20,66,618.980776052922,1,0,1638638.21130072,1638639.25837644,1,1,98,8,0
20,67,465.437171980739,1,0,1638640.98781086,1638642.03488042,1,1,62,0,16
20,68,2341.72804234549,1,0,1638643.65843557,1638644.7055417,1,1,72,0,8
20,69,515.458999434486,1,0,1638648.23495618,1638649.2820319,1,1,74,16,4
20,70,853.722655912861,0,0,1638650.95264083,1638651.99970423,1,0,80,0,0
20,71,698.433253681287,0,0,1638653.94090337,1638654.98797947,1,0,75,8,4
20,72,827.947594923899,1,0,1638656.87035465,1638657.91743307,1,1,64,8,8
20,73,468.924533110112,0,0,1638659.82333667,1638660.87040662,1,0,64,0,16
20,74,581.086373887956,1,0,1638662.34099676,1638663.38807979,1,1,73,8,16
20,75,510.797122027725,0,0,1638665.12928055,1638666.17635434,1,0,80,16,4
20,76,580.546658718959,0,0,1638667.71754786,1638668.76461781,1,0,61,4,8
20,77,664.179812418297,1,0,1638670.45875709,1638671.50582049,1,1,95,16,0
20,78,786.125820828602,1,0,1638673.24702086,1638674.29409581,1,1,63,16,8
20,79,1397.16242067516,1,0,1638676.15298259,1638677.20000558,1,1,71,8,0
20,80,767.110674176365,1,0,1638679.75296504,1638680.80004615,1,1,99,8,8
20,81,538.987428182736,1,0,1638693.61203776,1638694.65904919,2,1,63,0,4
20,82,462.808273732662,1,0,1638696.36500523,1638697.41201551,2,1,75,16,8
20,83,575.920197879896,1,0,1638699.02379855,1638700.0708762,2,1,79,8,4
20,84,606.362910708413,1,0,1638701.69442249,1638702.74148858,2,1,94,0,0
20,85,679.236405761912,1,0,1638704.43567098,1638705.4827005,2,1,75,8,16
20,86,550.810734042898,0,0,1638707.17684286,1638708.2239182,2,0,70,0,8
20,87,525.617734063417,0,0,1638709.81216318,1638710.85923621,2,0,93,0,8
20,88,669.385254615918,0,0,1638712.55341668,1638713.60044043,2,0,87,4,4
20,89,732.041500508785,0,0,1638715.2945874,1638716.34165504,2,0,69,4,4
20,90,483.346710912883,1,0,1638718.11822524,1638719.16521203,2,1,97,0,4
20,91,750.622026389465,1,0,1638720.72994283,1638721.77701663,2,1,90,8,8
20,92,825.64013870433,0,0,1638723.58880691,1638724.63586377,2,0,91,4,16
20,93,612.086125416681,1,0,1638726.56531274,1638727.61237191,2,1,94,16,0
20,94,507.745536509901,0,0,1638729.38886165,1638730.43594006,2,0,74,4,0
20,95,711.026481818408,1,0,1638732.05949559,1638733.10656131,2,1,96,4,0
20,96,546.383298235014,1,0,1638734.83599342,1638735.88306337,2,1,94,0,0
20,97,668.609558138996,0,0,1638737.44779032,1638738.4948618,2,0,71,4,0
20,98,923.40328451246,1,0,1638740.34193953,1638741.3890114,2,1,70,16,4
