Ethnicity,Subject Number,Preferred Hand,Age,Gender,Color blind,First Language,Room,TrialNumber,background,turtles,tortoises,target_id,resp,hit,rt,ran,order,block,iti,fix_duration
Asian,5,Right,18,Female,Yes,English,B,1,1,0,4,180.0,1.0,1.0,1221.22,1.0,0.0,0.0,1.03398,0.870652
Asian,5,Right,18,Female,Yes,English,B,2,0,8,0,0.0,0.0,1.0,1055.17,1.0,1.0,0.0,1.11289,0.88459
Asian,5,Right,18,Female,Yes,English,B,3,1,16,16,0.0,1.0,0.0,1297.62,1.0,2.0,0.0,1.10888,0.884169
Asian,5,Right,18,Female,Yes,English,B,4,1,16,8,0.0,0.0,1.0,722.026,1.0,3.0,0.0,1.17382,0.890868
Asian,5,Right,18,Female,Yes,English,B,5,1,4,8,0.0,0.0,1.0,567.272,1.0,4.0,0.0,1.01796,0.860492
Asian,5,Right,18,Female,Yes,English,B,6,1,0,8,180.0,1.0,1.0,710.755,1.0,5.0,0.0,1.00871,0.983329
Asian,5,Right,18,Female,Yes,English,B,7,1,8,8,0.0,0.0,1.0,788.75,1.0,6.0,0.0,1.15962,0.822117
Asian,5,Right,18,Female,Yes,English,B,8,1,8,0,0.0,0.0,1.0,700.657,1.0,7.0,0.0,1.04592,0.919087
Asian,5,Right,18,Female,Yes,English,B,9,1,0,0,0.0,0.0,1.0,541.446,1.0,8.0,0.0,1.17492,0.870616
Asian,5,Right,18,Female,Yes,English,B,10,0,16,4,180.0,1.0,1.0,773.596,1.0,9.0,0.0,1.02726,0.819208
Asian,5,Right,18,Female,Yes,English,B,11,0,8,16,0.0,0.0,1.0,745.047,1.0,10.0,0.0,1.15636,0.841235
Asian,5,Right,18,Female,Yes,English,B,12,0,16,0,180.0,1.0,1.0,771.987,1.0,11.0,0.0,1.11763,0.982986
Asian,5,Right,18,Female,Yes,English,B,13,0,4,16,0.0,0.0,1.0,727.055,1.0,12.0,0.0,1.17824,0.9261
Asian,5,Right,18,Female,Yes,English,B,14,0,8,8,0.0,0.0,1.0,856.04,1.0,13.0,0.0,1.0822,0.921557
Asian,5,Right,18,Female,Yes,English,B,15,1,4,16,0.0,0.0,1.0,1320.91,1.0,14.0,0.0,1.00532,0.962408
Asian,5,Right,18,Female,Yes,English,B,16,0,4,4,180.0,0.0,0.0,817.375,1.0,15.0,0.0,1.02426,0.938507
Asian,5,Right,18,Female,Yes,English,B,17,0,16,8,180.0,1.0,1.0,797.63,1.0,16.0,0.0,1.02041,0.99249
Asian,5,Right,18,Female,Yes,English,B,18,0,16,16,0.0,0.0,1.0,956.76,1.0,17.0,0.0,1.06271,0.855673
Asian,5,Right,18,Female,Yes,English,B,19,0,0,0,180.0,1.0,1.0,680.127,1.0,18.0,0.0,1.17919,0.940053
Asian,5,Right,18,Female,Yes,English,B,20,1,16,0,180.0,1.0,1.0,1194.76,1.0,19.0,0.0,1.03035,0.896573
Asian,5,Right,18,Female,Yes,English,B,21,0,4,8,180.0,1.0,1.0,775.835,1.0,20.0,0.0,1.14825,0.880175
Asian,5,Right,18,Female,Yes,English,B,22,1,0,16,0.0,0.0,1.0,877.667,1.0,21.0,0.0,1.10405,0.944076
Asian,5,Right,18,Female,Yes,English,B,23,0,8,4,0.0,0.0,1.0,795.848,1.0,22.0,0.0,1.10037,0.874227
Asian,5,Right,18,Female,Yes,English,B,24,1,16,4,180.0,1.0,1.0,773.402,1.0,23.0,0.0,1.06704,0.916304
Asian,5,Right,18,Female,Yes,English,B,25,0,0,16,180.0,1.0,1.0,736.901,1.0,24.0,0.0,1.15008,0.828199
Asian,5,Right,18,Female,Yes,English,B,26,0,0,4,180.0,1.0,1.0,799.141,1.0,25.0,0.0,1.00212,0.825296
Asian,5,Right,18,Female,Yes,English,B,27,1,8,4,0.0,0.0,1.0,1140.19,1.0,26.0,0.0,1.00536,0.986201
Asian,5,Right,18,Female,Yes,English,B,28,1,4,0,180.0,1.0,1.0,811.81,1.0,27.0,0.0,1.10248,0.97679
Asian,5,Right,18,Female,Yes,English,B,29,0,0,8,0.0,0.0,1.0,788.777,1.0,28.0,0.0,1.0428,0.926661
Asian,5,Right,18,Female,Yes,English,B,30,1,4,4,180.0,1.0,1.0,1250.29,1.0,29.0,0.0,1.11902,0.831279
Asian,5,Right,18,Female,Yes,English,B,31,0,4,0,180.0,1.0,1.0,762.728,1.0,30.0,0.0,1.01965,0.89097
Asian,5,Right,18,Female,Yes,English,B,32,1,8,16,180.0,1.0,1.0,1248.39,1.0,31.0,0.0,1.11773,0.869881
Asian,5,Right,18,Female,Yes,English,B,33,1,16,16,0.0,0.0,1.0,1516.49,1.0,32.0,1.0,1.12213,0.953115
Asian,5,Right,18,Female,Yes,English,B,34,0,4,16,0.0,0.0,1.0,942.279,1.0,33.0,1.0,1.03372,0.969039
Asian,5,Right,18,Female,Yes,English,B,35,0,0,8,0.0,0.0,1.0,645.702,1.0,34.0,1.0,1.05364,0.942959
Asian,5,Right,18,Female,Yes,English,B,36,0,4,8,180.0,1.0,1.0,1061.46,1.0,35.0,1.0,1.07107,0.9719
Asian,5,Right,18,Female,Yes,English,B,37,1,0,16,0.0,0.0,1.0,1010.74,1.0,36.0,1.0,1.15723,0.919347
Asian,5,Right,18,Female,Yes,English,B,38,0,0,0,0.0,0.0,1.0,642.196,1.0,37.0,1.0,1.06481,0.89898
Asian,5,Right,18,Female,Yes,English,B,39,1,4,8,180.0,1.0,1.0,742.089,1.0,38.0,1.0,1.03809,0.990407
Asian,5,Right,18,Female,Yes,English,B,40,0,4,4,180.0,1.0,1.0,822.843,1.0,39.0,1.0,1.06808,0.8906
Asian,5,Right,18,Female,Yes,English,B,41,1,4,0,0.0,0.0,1.0,796.652,1.0,40.0,1.0,1.10548,0.897708
Asian,5,Right,18,Female,Yes,English,B,42,1,8,16,0.0,0.0,1.0,708.602,1.0,41.0,1.0,1.00377,0.969005
Asian,5,Right,18,Female,Yes,English,B,43,0,0,4,0.0,0.0,1.0,617.196,1.0,42.0,1.0,1.13362,0.908865
Asian,5,Right,18,Female,Yes,English,B,44,0,16,16,180.0,1.0,1.0,1423.52,1.0,43.0,1.0,1.03624,0.942892
Asian,5,Right,18,Female,Yes,English,B,45,0,16,4,0.0,0.0,1.0,1435.8,1.0,44.0,1.0,1.09953,0.970056
Asian,5,Right,18,Female,Yes,English,B,46,0,16,0,0.0,0.0,1.0,607.036,1.0,45.0,1.0,1.06375,0.865341
Asian,5,Right,18,Female,Yes,English,B,47,0,4,0,180.0,1.0,1.0,1350.99,1.0,46.0,1.0,1.16085,0.82508
Asian,5,Right,18,Female,Yes,English,B,48,1,8,4,0.0,0.0,1.0,696.476,1.0,47.0,1.0,1.15269,0.951978
Asian,5,Right,18,Female,Yes,English,B,49,1,16,0,180.0,1.0,1.0,955.69,1.0,48.0,1.0,1.07991,0.996771
Asian,5,Right,18,Female,Yes,English,B,50,1,8,0,180.0,1.0,1.0,774.086,1.0,49.0,1.0,1.18417,0.928281
Asian,5,Right,18,Female,Yes,English,B,51,0,8,0,180.0,1.0,1.0,965.836,1.0,50.0,1.0,1.12133,0.922374
Asian,5,Right,18,Female,Yes,English,B,52,0,8,4,0.0,0.0,1.0,1079.34,1.0,51.0,1.0,1.00063,0.880289
Asian,5,Right,18,Female,Yes,English,B,53,1,0,0,180.0,1.0,1.0,663.075,1.0,52.0,1.0,1.1482,0.849347
Asian,5,Right,18,Female,Yes,English,B,54,1,0,4,0.0,0.0,1.0,830.768,1.0,53.0,1.0,1.12078,0.869097
Asian,5,Right,18,Female,Yes,English,B,55,0,0,16,180.0,1.0,1.0,766.409,1.0,54.0,1.0,1.18738,0.967507
Asian,5,Right,18,Female,Yes,English,B,56,1,4,4,0.0,0.0,1.0,1366.0,1.0,55.0,1.0,1.03547,0.807638
Asian,5,Right,18,Female,Yes,English,B,57,1,8,8,180.0,1.0,1.0,1457.5,1.0,56.0,1.0,1.11212,0.859271
Asian,5,Right,18,Female,Yes,English,B,58,1,0,8,180.0,1.0,1.0,687.752,1.0,57.0,1.0,1.02647,0.88642
Asian,5,Right,18,Female,Yes,English,B,59,1,16,4,180.0,1.0,1.0,571.87,1.0,58.0,1.0,1.02497,0.885672
Asian,5,Right,18,Female,Yes,English,B,60,1,16,8,180.0,1.0,1.0,801.194,1.0,59.0,1.0,1.12465,0.871005
Asian,5,Right,18,Female,Yes,English,B,61,0,8,8,180.0,1.0,1.0,661.078,1.0,60.0,1.0,1.1553,0.809109
Asian,5,Right,18,Female,Yes,English,B,62,1,4,16,180.0,1.0,1.0,914.287,1.0,61.0,1.0,1.04598,0.814937
Asian,5,Right,18,Female,Yes,English,B,63,0,8,16,0.0,0.0,1.0,930.695,1.0,62.0,1.0,1.02818,0.945201
Asian,5,Right,18,Female,Yes,English,B,64,0,16,8,0.0,0.0,1.0,734.51,1.0,63.0,1.0,1.0884,0.847967
Asian,5,Right,18,Female,Yes,English,B,65,1,8,4,180.0,1.0,1.0,808.462,1.0,64.0,2.0,1.02673,0.86385
Asian,5,Right,18,Female,Yes,English,B,66,0,16,4,180.0,1.0,1.0,937.578,1.0,65.0,2.0,1.14063,0.899819
Asian,5,Right,18,Female,Yes,English,B,67,0,4,4,180.0,1.0,1.0,968.705,1.0,66.0,2.0,1.08773,0.879187
