Ethnicity,Subject Number,Preferred Hand,Age,Gender,Color blind,First Language,Room,TrialNumber,background,turtles,tortoises,target_id,resp,hit,rt,ran,order,block,iti,fix_duration
Multiracial,3,Left,18,Female,Yes,English,E,1,1,4,8,0.0,0.0,1.0,1081.49,1.0,0.0,0.0,1.01364,0.864538
Multiracial,3,Left,18,Female,Yes,English,E,2,1,8,8,0.0,0.0,1.0,631.361,1.0,1.0,0.0,1.15054,0.926299
Multiracial,3,Left,18,Female,Yes,English,E,3,1,0,16,0.0,0.0,1.0,766.866,1.0,2.0,0.0,1.1771,0.986985
Multiracial,3,Left,18,Female,Yes,English,E,4,0,8,8,180.0,1.0,1.0,1483.66,1.0,3.0,0.0,1.18247,0.976918
Multiracial,3,Left,18,Female,Yes,English,E,5,1,0,4,0.0,0.0,1.0,602.88,1.0,4.0,0.0,1.13372,0.837707
Multiracial,3,Left,18,Female,Yes,English,E,6,0,8,4,180.0,1.0,1.0,801.2,1.0,5.0,0.0,1.0395,0.959744
Multiracial,3,Left,18,Female,Yes,English,E,7,1,0,0,180.0,1.0,1.0,716.119,1.0,6.0,0.0,1.00749,0.948922
Multiracial,3,Left,18,Female,Yes,English,E,8,0,0,0,0.0,0.0,1.0,707.508,1.0,7.0,0.0,1.10382,0.938763
Multiracial,3,Left,18,Female,Yes,English,E,9,1,8,0,0.0,0.0,1.0,616.119,1.0,8.0,0.0,1.02446,0.806343
Multiracial,3,Left,18,Female,Yes,English,E,10,1,0,8,180.0,1.0,1.0,862.229,1.0,9.0,0.0,1.06197,0.848038
Multiracial,3,Left,18,Female,Yes,English,E,11,1,4,0,0.0,0.0,1.0,689.509,1.0,10.0,0.0,1.08236,0.975152
Multiracial,3,Left,18,Female,Yes,English,E,12,1,16,8,0.0,0.0,1.0,821.177,1.0,11.0,0.0,1.10809,0.992578
Multiracial,3,Left,18,Female,Yes,English,E,13,0,4,8,0.0,0.0,1.0,1145.84,1.0,12.0,0.0,1.05843,0.878554
Multiracial,3,Left,18,Female,Yes,English,E,14,0,16,8,180.0,1.0,1.0,977.355,1.0,13.0,0.0,1.12778,0.943767
Multiracial,3,Left,18,Female,Yes,English,E,15,0,4,16,0.0,0.0,1.0,681.63,1.0,14.0,0.0,1.1177,0.994972
Multiracial,3,Left,18,Female,Yes,English,E,16,1,4,4,180.0,1.0,1.0,1123.03,1.0,15.0,0.0,1.16668,0.997604
Multiracial,3,Left,18,Female,Yes,English,E,17,0,16,4,180.0,1.0,1.0,757.803,1.0,16.0,0.0,1.04852,0.875193
Multiracial,3,Left,18,Female,Yes,English,E,18,0,8,16,180.0,1.0,1.0,1154.52,1.0,17.0,0.0,1.14168,0.961682
Multiracial,3,Left,18,Female,Yes,English,E,19,0,4,4,180.0,1.0,1.0,704.001,1.0,18.0,0.0,1.08175,0.862992
Multiracial,3,Left,18,Female,Yes,English,E,20,0,16,16,0.0,0.0,1.0,719.507,1.0,19.0,0.0,1.03362,0.85809
Multiracial,3,Left,18,Female,Yes,English,E,21,1,4,16,0.0,0.0,1.0,548.839,1.0,20.0,0.0,1.09567,0.942301
Multiracial,3,Left,18,Female,Yes,English,E,22,1,8,16,180.0,0.0,0.0,517.082,1.0,21.0,0.0,1.12681,0.842497
Multiracial,3,Left,18,Female,Yes,English,E,23,1,16,0,0.0,0.0,1.0,1441.59,1.0,22.0,0.0,1.17643,0.915005
Multiracial,3,Left,18,Female,Yes,English,E,24,1,16,16,180.0,1.0,1.0,671.309,1.0,23.0,0.0,1.1985,0.879171
Multiracial,3,Left,18,Female,Yes,English,E,25,1,8,4,0.0,0.0,1.0,707.989,1.0,24.0,0.0,1.17202,0.99815
Multiracial,3,Left,18,Female,Yes,English,E,26,0,16,0,0.0,0.0,1.0,1257.63,1.0,25.0,0.0,1.07378,0.889747
Multiracial,3,Left,18,Female,Yes,English,E,27,0,8,0,180.0,1.0,1.0,1149.92,1.0,26.0,0.0,1.01636,0.862254
Multiracial,3,Left,18,Female,Yes,English,E,28,0,0,4,180.0,1.0,1.0,927.378,1.0,27.0,0.0,1.19037,0.948544
Multiracial,3,Left,18,Female,Yes,English,E,29,1,16,4,180.0,1.0,1.0,1381.39,1.0,28.0,0.0,1.09308,0.808758
Multiracial,3,Left,18,Female,Yes,English,E,30,0,4,0,180.0,1.0,1.0,805.5,1.0,29.0,0.0,1.16125,0.964315
Multiracial,3,Left,18,Female,Yes,English,E,31,0,0,8,180.0,1.0,1.0,700.674,1.0,30.0,0.0,1.1551,0.83417
Multiracial,3,Left,18,Female,Yes,English,E,32,0,0,16,0.0,0.0,1.0,697.674,1.0,31.0,0.0,1.16998,0.931479
Multiracial,3,Left,18,Female,Yes,English,E,33,1,0,4,0.0,0.0,1.0,574.26,1.0,32.0,1.0,1.01683,0.958321
Multiracial,3,Left,18,Female,Yes,English,E,34,1,16,16,180.0,1.0,1.0,942.098,1.0,33.0,1.0,1.03279,0.812642
Multiracial,3,Left,18,Female,Yes,English,E,35,0,4,4,180.0,1.0,1.0,743.887,1.0,34.0,1.0,1.07747,0.849043
