Ethnicity,Subject Number,Preferred Hand,Age,Gender,Color blind,First Language,Room,TrialNumber,background,turtles,tortoises,target_id,resp,hit,rt,ran,order,block,iti,fix_duration
African American,14,Right,20,Female,Yes,English,A,1,0,16,0,180.0,1.0,1.0,1144.19,1.0,0.0,0.0,1.13798,0.833807
African American,14,Right,20,Female,Yes,English,A,2,1,16,8,180.0,1.0,1.0,1100.62,1.0,1.0,0.0,1.05571,0.86364
African American,14,Right,20,Female,Yes,English,A,3,1,0,16,180.0,1.0,1.0,1433.62,1.0,2.0,0.0,1.01156,0.871196
African American,14,Right,20,Female,Yes,English,A,4,1,4,16,180.0,1.0,1.0,1307.67,1.0,3.0,0.0,1.1085,0.97073
African American,14,Right,20,Female,Yes,English,A,5,0,0,0,0.0,0.0,1.0,918.984,1.0,4.0,0.0,1.19251,0.986547
African American,14,Right,20,Female,Yes,English,A,6,1,16,16,180.0,1.0,1.0,1186.8,1.0,5.0,0.0,1.05554,0.896944
African American,14,Right,20,Female,Yes,English,A,7,1,4,0,180.0,1.0,1.0,596.71,1.0,6.0,0.0,1.19493,0.943162
African American,14,Right,20,Female,Yes,English,A,8,0,4,16,180.0,1.0,1.0,699.65,1.0,7.0,0.0,1.00285,0.936934
African American,14,Right,20,Female,Yes,English,A,9,1,4,8,0.0,0.0,1.0,1054.32,1.0,8.0,0.0,1.12546,0.815683
African American,14,Right,20,Female,Yes,English,A,10,0,4,4,0.0,0.0,1.0,741.646,1.0,9.0,0.0,1.1667,0.930259
African American,14,Right,20,Female,Yes,English,A,11,1,8,16,0.0,0.0,1.0,548.053,1.0,10.0,0.0,1.03584,0.930393
African American,14,Right,20,Female,Yes,English,A,12,1,0,0,0.0,0.0,1.0,710.666,1.0,11.0,0.0,1.00875,0.840054
African American,14,Right,20,Female,Yes,English,A,13,1,8,0,180.0,1.0,1.0,1011.7,1.0,12.0,0.0,1.1374,0.827647
African American,14,Right,20,Female,Yes,English,A,14,1,8,8,0.0,0.0,1.0,1925.74,1.0,13.0,0.0,1.11645,0.833978
African American,14,Right,20,Female,Yes,English,A,15,0,16,16,0.0,0.0,1.0,1195.25,1.0,14.0,0.0,1.10642,0.95402
African American,14,Right,20,Female,Yes,English,A,16,0,4,0,0.0,0.0,1.0,748.824,1.0,15.0,0.0,1.14951,0.968312
African American,14,Right,20,Female,Yes,English,A,17,1,16,0,180.0,1.0,1.0,782.073,1.0,16.0,0.0,1.03932,0.812181
African American,14,Right,20,Female,Yes,English,A,18,1,16,4,0.0,0.0,1.0,1053.02,1.0,17.0,0.0,1.02677,0.893584
African American,14,Right,20,Female,Yes,English,A,19,1,4,4,0.0,0.0,1.0,1170.0,1.0,18.0,0.0,1.01655,0.80637
African American,14,Right,20,Female,Yes,English,A,20,0,8,0,0.0,0.0,1.0,748.863,1.0,19.0,0.0,1.0136,0.996492
African American,14,Right,20,Female,Yes,English,A,21,0,8,4,180.0,0.0,0.0,742.122,1.0,20.0,0.0,1.00641,0.888664
African American,14,Right,20,Female,Yes,English,A,22,0,0,16,0.0,0.0,1.0,783.038,1.0,21.0,0.0,1.06249,0.881222
African American,14,Right,20,Female,Yes,English,A,23,0,8,8,180.0,1.0,1.0,765.912,1.0,22.0,0.0,1.02966,0.939081
African American,14,Right,20,Female,Yes,English,A,24,0,4,8,0.0,0.0,1.0,803.974,1.0,23.0,0.0,1.17058,0.846845
African American,14,Right,20,Female,Yes,English,A,25,1,0,4,180.0,1.0,1.0,1251.34,1.0,24.0,0.0,1.07477,0.834872
African American,14,Right,20,Female,Yes,English,A,26,1,0,8,180.0,1.0,1.0,1180.62,1.0,25.0,0.0,1.13412,0.922081
African American,14,Right,20,Female,Yes,English,A,27,0,16,8,0.0,0.0,1.0,1010.35,1.0,26.0,0.0,1.13313,0.943123
African American,14,Right,20,Female,Yes,English,A,28,1,8,4,180.0,1.0,1.0,1358.09,1.0,27.0,0.0,1.16058,0.874611
African American,14,Right,20,Female,Yes,English,A,29,0,0,8,0.0,0.0,1.0,778.136,1.0,28.0,0.0,1.10436,0.923198
African American,14,Right,20,Female,Yes,English,A,30,0,0,4,0.0,0.0,1.0,955.773,1.0,29.0,0.0,1.00417,0.924506
African American,14,Right,20,Female,Yes,English,A,31,0,16,4,180.0,1.0,1.0,895.328,1.0,30.0,0.0,1.03904,0.883098
African American,14,Right,20,Female,Yes,English,A,32,0,8,16,180.0,1.0,1.0,1221.33,1.0,31.0,0.0,1.08869,0.937478
African American,14,Right,20,Female,Yes,English,A,33,1,4,4,180.0,1.0,1.0,855.422,1.0,32.0,1.0,1.03938,0.884874
African American,14,Right,20,Female,Yes,English,A,34,1,4,0,180.0,1.0,1.0,897.073,1.0,33.0,1.0,1.11429,0.887386
African American,14,Right,20,Female,Yes,English,A,35,0,8,0,180.0,1.0,1.0,681.979,1.0,34.0,1.0,1.07369,0.978662
African American,14,Right,20,Female,Yes,English,A,36,1,16,8,0.0,0.0,1.0,878.662,1.0,35.0,1.0,1.12029,0.939603
African American,14,Right,20,Female,Yes,English,A,37,0,16,4,180.0,1.0,1.0,1047.51,1.0,36.0,1.0,1.05802,0.963045
African American,14,Right,20,Female,Yes,English,A,38,0,0,16,0.0,0.0,1.0,1429.39,1.0,37.0,1.0,1.02722,0.84876
African American,14,Right,20,Female,Yes,English,A,39,0,8,4,180.0,1.0,1.0,800.984,1.0,38.0,1.0,1.09039,0.95873
African American,14,Right,20,Female,Yes,English,A,40,0,4,16,0.0,0.0,1.0,1225.73,1.0,39.0,1.0,1.18235,0.973243
African American,14,Right,20,Female,Yes,English,A,41,0,8,16,0.0,0.0,1.0,887.013,1.0,40.0,1.0,1.12599,0.826957
African American,14,Right,20,Female,Yes,English,A,42,1,8,4,180.0,1.0,1.0,782.777,1.0,41.0,1.0,1.1367,0.862984
African American,14,Right,20,Female,Yes,English,A,43,1,4,8,0.0,0.0,1.0,1559.44,1.0,42.0,1.0,1.10697,0.851234
African American,14,Right,20,Female,Yes,English,A,44,0,16,8,0.0,0.0,1.0,689.838,1.0,43.0,1.0,1.03813,0.87469
African American,14,Right,20,Female,Yes,English,A,45,1,16,4,0.0,0.0,1.0,1541.71,1.0,44.0,1.0,1.14406,0.834484
African American,14,Right,20,Female,Yes,English,A,46,1,0,4,180.0,1.0,1.0,868.293,1.0,45.0,1.0,1.15089,0.924381
African American,14,Right,20,Female,Yes,English,A,47,1,16,16,0.0,0.0,1.0,1753.15,1.0,46.0,1.0,1.19784,0.889231
African American,14,Right,20,Female,Yes,English,A,48,0,8,8,180.0,1.0,1.0,736.157,1.0,47.0,1.0,1.00935,0.926758
African American,14,Right,20,Female,Yes,English,A,49,1,8,16,180.0,1.0,1.0,781.714,1.0,48.0,1.0,1.13343,0.902504
African American,14,Right,20,Female,Yes,English,A,50,0,0,0,0.0,0.0,1.0,786.73,1.0,49.0,1.0,1.07837,0.975365
African American,14,Right,20,Female,Yes,English,A,51,0,4,0,0.0,0.0,1.0,923.789,1.0,50.0,1.0,1.02553,0.973088
African American,14,Right,20,Female,Yes,English,A,52,0,4,8,0.0,0.0,1.0,756.388,1.0,51.0,1.0,1.08814,0.867541
African American,14,Right,20,Female,Yes,English,A,53,0,0,4,0.0,0.0,1.0,1343.7,1.0,52.0,1.0,1.0944,0.959946
African American,14,Right,20,Female,Yes,English,A,54,1,16,0,0.0,0.0,1.0,1050.57,1.0,53.0,1.0,1.05837,0.924279
African American,14,Right,20,Female,Yes,English,A,55,1,0,0,180.0,1.0,1.0,743.87,1.0,54.0,1.0,1.16731,0.939318
African American,14,Right,20,Female,Yes,English,A,56,1,4,16,180.0,1.0,1.0,1637.35,1.0,55.0,1.0,1.15166,0.975065
African American,14,Right,20,Female,Yes,English,A,57,0,4,4,180.0,1.0,1.0,1160.73,1.0,56.0,1.0,1.02667,0.970281
African American,14,Right,20,Female,Yes,English,A,58,0,0,8,0.0,0.0,1.0,1019.58,1.0,57.0,1.0,1.14548,0.997481
African American,14,Right,20,Female,Yes,English,A,59,0,16,0,0.0,0.0,1.0,1010.37,1.0,58.0,1.0,1.14772,0.91513
African American,14,Right,20,Female,Yes,English,A,60,1,0,16,0.0,0.0,1.0,962.217,1.0,59.0,1.0,1.09208,0.818961
African American,14,Right,20,Female,Yes,English,A,61,1,0,8,180.0,1.0,1.0,931.125,1.0,60.0,1.0,1.08514,0.980885
African American,14,Right,20,Female,Yes,English,A,62,1,8,8,180.0,1.0,1.0,860.001,1.0,61.0,1.0,1.10426,0.847447
African American,14,Right,20,Female,Yes,English,A,63,1,8,0,180.0,1.0,1.0,897.41,1.0,62.0,1.0,1.11262,0.898238
African American,14,Right,20,Female,Yes,English,A,64,0,16,16,180.0,1.0,1.0,1951.51,1.0,63.0,1.0,1.10837,0.869838
African American,14,Right,20,Female,Yes,English,A,65,1,16,4,0.0,0.0,1.0,520.443,1.0,64.0,2.0,1.1669,0.898787
African American,14,Right,20,Female,Yes,English,A,66,1,16,0,180.0,1.0,1.0,1348.02,1.0,65.0,2.0,1.17115,0.913323
African American,14,Right,20,Female,Yes,English,A,67,0,8,0,180.0,1.0,1.0,1218.98,1.0,66.0,2.0,1.17743,0.975067
African American,14,Right,20,Female,Yes,English,A,68,1,8,8,180.0,1.0,1.0,899.126,1.0,67.0,2.0,1.09205,0.981866
African American,14,Right,20,Female,Yes,English,A,69,1,4,4,0.0,0.0,1.0,1089.02,1.0,68.0,2.0,1.19894,0.8043
African American,14,Right,20,Female,Yes,English,A,70,1,0,8,0.0,0.0,1.0,833.11,1.0,69.0,2.0,1.11772,0.961626
African American,14,Right,20,Female,Yes,English,A,71,0,8,4,180.0,1.0,1.0,755.889,1.0,70.0,2.0,1.18941,0.866986
African American,14,Right,20,Female,Yes,English,A,72,1,0,0,180.0,1.0,1.0,725.869,1.0,71.0,2.0,1.15073,0.941715
African American,14,Right,20,Female,Yes,English,A,73,1,8,0,0.0,0.0,1.0,1317.1,1.0,72.0,2.0,1.1061,0.829199
African American,14,Right,20,Female,Yes,English,A,74,1,16,8,0.0,0.0,1.0,1165.14,1.0,73.0,2.0,1.09587,0.993185
African American,14,Right,20,Female,Yes,English,A,75,1,16,16,180.0,1.0,1.0,1322.95,1.0,74.0,2.0,1.02866,0.88822
African American,14,Right,20,Female,Yes,English,A,76,0,0,8,180.0,1.0,1.0,544.901,1.0,75.0,2.0,1.19248,0.833342
African American,14,Right,20,Female,Yes,English,A,77,1,4,8,0.0,0.0,1.0,793.846,1.0,76.0,2.0,1.17119,0.995176
African American,14,Right,20,Female,Yes,English,A,78,0,4,8,0.0,0.0,1.0,1024.24,1.0,77.0,2.0,1.10373,0.848565
African American,14,Right,20,Female,Yes,English,A,79,0,4,4,0.0,0.0,1.0,643.124,1.0,78.0,2.0,1.12623,0.86101
African American,14,Right,20,Female,Yes,English,A,80,0,4,16,180.0,1.0,1.0,600.25,1.0,79.0,2.0,1.14662,0.966829
African American,14,Right,20,Female,Yes,English,A,81,1,4,16,0.0,0.0,1.0,875.816,1.0,80.0,2.0,1.02911,0.850699
African American,14,Right,20,Female,Yes,English,A,82,1,8,16,180.0,1.0,1.0,900.458,1.0,81.0,2.0,1.18447,0.848396
African American,14,Right,20,Female,Yes,English,A,83,0,0,4,180.0,1.0,1.0,722.977,1.0,82.0,2.0,1.15031,0.990914
African American,14,Right,20,Female,Yes,English,A,84,0,0,16,0.0,0.0,1.0,1401.81,1.0,83.0,2.0,1.1324,0.999674
African American,14,Right,20,Female,Yes,English,A,85,0,8,8,0.0,0.0,1.0,1148.37,1.0,84.0,2.0,1.18544,0.869656
African American,14,Right,20,Female,Yes,English,A,86,0,16,8,180.0,1.0,1.0,935.454,1.0,85.0,2.0,1.06841,0.84848
African American,14,Right,20,Female,Yes,English,A,87,1,8,4,180.0,1.0,1.0,941.642,1.0,86.0,2.0,1.02223,0.945444
African American,14,Right,20,Female,Yes,English,A,88,0,16,16,0.0,0.0,1.0,1058.95,1.0,87.0,2.0,1.16138,0.963002
African American,14,Right,20,Female,Yes,English,A,89,0,4,0,180.0,1.0,1.0,708.575,1.0,88.0,2.0,1.12469,0.853256
African American,14,Right,20,Female,Yes,English,A,90,1,0,4,0.0,0.0,1.0,1140.52,1.0,89.0,2.0,1.1647,0.909186
African American,14,Right,20,Female,Yes,English,A,91,0,16,4,180.0,1.0,1.0,1245.76,1.0,90.0,2.0,1.08005,0.920494
African American,14,Right,20,Female,Yes,English,A,92,1,4,0,0.0,0.0,1.0,992.359,1.0,91.0,2.0,1.09532,0.898771
African American,14,Right,20,Female,Yes,English,A,93,0,8,16,0.0,0.0,1.0,1175.66,1.0,92.0,2.0,1.02715,0.943976
African American,14,Right,20,Female,Yes,English,A,94,0,16,0,180.0,1.0,1.0,789.918,1.0,93.0,2.0,1.01737,0.83291
African American,14,Right,20,Female,Yes,English,A,95,1,0,16,0.0,0.0,1.0,903.242,1.0,94.0,2.0,1.03072,0.986143
African American,14,Right,20,Female,Yes,English,A,96,0,0,0,180.0,1.0,1.0,639.699,1.0,95.0,2.0,1.19675,0.829086
African American,14,Right,20,Female,Yes,English,A,97,0,16,8,180.0,1.0,1.0,720.099,1.0,96.0,3.0,1.03368,0.977888
African American,14,Right,20,Female,Yes,English,A,98,1,0,0,0.0,0.0,1.0,685.231,1.0,97.0,3.0,1.01135,0.849345
African American,14,Right,20,Female,Yes,English,A,99,1,16,8,0.0,0.0,1.0,1592.66,1.0,98.0,3.0,1.02504,0.842275
African American,14,Right,20,Female,Yes,English,A,100,0,8,8,180.0,1.0,1.0,1491.1,1.0,99.0,3.0,1.06408,0.871812
African American,14,Right,20,Female,Yes,English,A,101,0,16,4,180.0,1.0,1.0,623.18,1.0,100.0,3.0,1.11739,0.871769
African American,14,Right,20,Female,Yes,English,A,102,0,0,16,0.0,0.0,1.0,966.11,1.0,101.0,3.0,1.00115,0.969991
African American,14,Right,20,Female,Yes,English,A,103,1,4,16,180.0,1.0,1.0,886.403,1.0,102.0,3.0,1.04394,0.816831
African American,14,Right,20,Female,Yes,English,A,104,1,4,4,180.0,1.0,1.0,619.948,1.0,103.0,3.0,1.05581,0.989951
African American,14,Right,20,Female,Yes,English,A,105,0,16,16,0.0,0.0,1.0,1071.82,1.0,104.0,3.0,1.06378,0.844949
African American,14,Right,20,Female,Yes,English,A,106,1,4,8,180.0,1.0,1.0,1277.76,1.0,105.0,3.0,1.08509,0.84896
African American,14,Right,20,Female,Yes,English,A,107,0,8,4,180.0,1.0,1.0,1258.55,1.0,106.0,3.0,1.12154,0.86341
African American,14,Right,20,Female,Yes,English,A,108,0,4,8,0.0,0.0,1.0,1469.1,1.0,107.0,3.0,1.1709,0.873093
African American,14,Right,20,Female,Yes,English,A,109,1,16,4,0.0,0.0,1.0,642.682,1.0,108.0,3.0,1.02901,0.91039
African American,14,Right,20,Female,Yes,English,A,110,1,8,4,0.0,0.0,1.0,1161.59,1.0,109.0,3.0,1.1838,0.915453
African American,14,Right,20,Female,Yes,English,A,111,0,4,16,0.0,1.0,0.0,1049.93,1.0,110.0,3.0,1.15102,0.852341
African American,14,Right,20,Female,Yes,English,A,112,1,0,16,180.0,1.0,1.0,1218.86,1.0,111.0,3.0,1.08312,0.926193
African American,14,Right,20,Female,Yes,English,A,113,1,4,0,180.0,1.0,1.0,934.001,1.0,112.0,3.0,1.11542,0.894545
African American,14,Right,20,Female,Yes,English,A,114,1,0,4,180.0,1.0,1.0,725.787,1.0,113.0,3.0,1.09801,0.98579
African American,14,Right,20,Female,Yes,English,A,115,1,8,16,180.0,1.0,1.0,663.045,1.0,114.0,3.0,1.09595,0.817149
African American,14,Right,20,Female,Yes,English,A,116,1,8,8,180.0,1.0,1.0,1135.76,1.0,115.0,3.0,1.18329,0.990303
African American,14,Right,20,Female,Yes,English,A,117,0,0,8,0.0,0.0,1.0,1613.72,1.0,116.0,3.0,1.12401,0.827661
African American,14,Right,20,Female,Yes,English,A,118,0,4,0,180.0,1.0,1.0,918.484,1.0,117.0,3.0,1.00974,0.897217
African American,14,Right,20,Female,Yes,English,A,119,0,0,0,0.0,0.0,1.0,694.253,1.0,118.0,3.0,1.18054,0.957511
African American,14,Right,20,Female,Yes,English,A,120,1,8,0,0.0,0.0,1.0,1240.68,1.0,119.0,3.0,1.1283,0.835309
African American,14,Right,20,Female,Yes,English,A,121,0,8,16,180.0,1.0,1.0,996.553,1.0,120.0,3.0,1.0912,0.99582
African American,14,Right,20,Female,Yes,English,A,122,1,16,0,0.0,0.0,1.0,1127.32,1.0,121.0,3.0,1.19624,0.862654
African American,14,Right,20,Female,Yes,English,A,123,1,16,16,0.0,0.0,1.0,539.498,1.0,122.0,3.0,1.10048,0.855042
African American,14,Right,20,Female,Yes,English,A,124,0,16,0,180.0,1.0,1.0,928.312,1.0,123.0,3.0,1.0016,0.834147
African American,14,Right,20,Female,Yes,English,A,125,0,8,0,180.0,1.0,1.0,904.713,1.0,124.0,3.0,1.08441,0.824285
African American,14,Right,20,Female,Yes,English,A,126,0,0,4,0.0,0.0,1.0,591.034,1.0,125.0,3.0,1.13292,0.861375
African American,14,Right,20,Female,Yes,English,A,127,0,4,4,0.0,0.0,1.0,727.735,1.0,126.0,3.0,1.14417,0.996888
African American,14,Right,20,Female,Yes,English,A,128,1,0,8,0.0,0.0,1.0,832.949,1.0,127.0,3.0,1.08005,0.870073
African American,14,Right,20,Female,Yes,English,A,129,0,0,0,0.0,0.0,1.0,546.735,1.0,128.0,4.0,1.07366,0.91676
African American,14,Right,20,Female,Yes,English,A,130,1,8,16,180.0,1.0,1.0,1292.99,1.0,129.0,4.0,1.0227,0.865922
African American,14,Right,20,Female,Yes,English,A,131,0,0,8,0.0,0.0,1.0,1077.63,1.0,130.0,4.0,1.15326,0.842637
African American,14,Right,20,Female,Yes,English,A,132,1,0,0,0.0,0.0,1.0,689.226,1.0,131.0,4.0,1.08855,0.993925
African American,14,Right,20,Female,Yes,English,A,133,1,16,16,0.0,0.0,1.0,1012.57,1.0,132.0,4.0,1.14579,0.969348
African American,14,Right,20,Female,Yes,English,A,134,1,0,8,0.0,0.0,1.0,474.997,1.0,133.0,4.0,1.01491,0.850264
African American,14,Right,20,Female,Yes,English,A,135,0,0,16,180.0,1.0,1.0,586.068,1.0,134.0,4.0,1.03726,0.850886
African American,14,Right,20,Female,Yes,English,A,136,0,16,0,180.0,1.0,1.0,1281.8,1.0,135.0,4.0,1.0193,0.921274
African American,14,Right,20,Female,Yes,English,A,137,0,4,16,180.0,1.0,1.0,677.592,1.0,136.0,4.0,1.16801,0.90446
African American,14,Right,20,Female,Yes,English,A,138,1,8,4,180.0,1.0,1.0,1224.36,1.0,137.0,4.0,1.14507,0.826395
African American,14,Right,20,Female,Yes,English,A,139,0,0,4,0.0,0.0,1.0,675.864,1.0,138.0,4.0,1.0352,0.900511
African American,14,Right,20,Female,Yes,English,A,140,0,8,8,0.0,0.0,1.0,1366.95,1.0,139.0,4.0,1.15851,0.909919
African American,14,Right,20,Female,Yes,English,A,141,0,16,8,180.0,1.0,1.0,1026.43,1.0,140.0,4.0,1.09197,0.964389
African American,14,Right,20,Female,Yes,English,A,142,0,16,16,0.0,0.0,1.0,1417.38,1.0,141.0,4.0,1.09381,0.906853
African American,14,Right,20,Female,Yes,English,A,143,0,8,4,0.0,0.0,1.0,1365.54,1.0,142.0,4.0,1.0338,0.877043
African American,14,Right,20,Female,Yes,English,A,144,1,0,16,0.0,0.0,1.0,1315.62,1.0,143.0,4.0,1.03788,0.829857
African American,14,Right,20,Female,Yes,English,A,145,1,16,4,180.0,1.0,1.0,1034.47,1.0,144.0,4.0,1.00239,0.802605
African American,14,Right,20,Female,Yes,English,A,146,1,8,0,180.0,1.0,1.0,951.56,1.0,145.0,4.0,1.09755,0.850982
African American,14,Right,20,Female,Yes,English,A,147,1,16,8,180.0,1.0,1.0,620.627,1.0,146.0,4.0,1.08324,0.878891
African American,14,Right,20,Female,Yes,English,A,148,0,4,0,0.0,0.0,1.0,506.735,1.0,147.0,4.0,1.06426,0.944238
African American,14,Right,20,Female,Yes,English,A,149,1,4,8,0.0,0.0,1.0,1120.73,1.0,148.0,4.0,1.12295,0.915357
African American,14,Right,20,Female,Yes,English,A,150,0,16,4,0.0,0.0,1.0,1019.65,1.0,149.0,4.0,1.05403,0.877809
African American,14,Right,20,Female,Yes,English,A,151,1,4,0,0.0,0.0,1.0,1056.95,1.0,150.0,4.0,1.05735,0.993276
