Ethnicity,Subject Number,Preferred Hand,Age,Gender,Color blind,First Language,Room,TrialNumber,background,turtles,tortoises,target_id,resp,hit,rt,ran,order,block,iti,fix_duration
White,13,Right,18,Female,Yes,English,A,1,0,4,8,0.0,0.0,1.0,861.522,1.0,0.0,0.0,1.11799,0.814405
White,13,Right,18,Female,Yes,English,A,2,0,16,4,0.0,0.0,1.0,770.723,1.0,1.0,0.0,1.15616,0.94278
White,13,Right,18,Female,Yes,English,A,3,1,16,8,180.0,1.0,1.0,762.602,1.0,2.0,0.0,1.07375,0.885242
White,13,Right,18,Female,Yes,English,A,4,1,4,0,0.0,0.0,1.0,484.347,1.0,3.0,0.0,1.1035,0.99207
White,13,Right,18,Female,Yes,English,A,5,1,16,4,0.0,0.0,1.0,339.287,1.0,4.0,0.0,1.19748,0.89017
White,13,Right,18,Female,Yes,English,A,6,1,4,16,180.0,1.0,1.0,532.017,1.0,5.0,0.0,1.13098,0.974866
White,13,Right,18,Female,Yes,English,A,7,1,8,0,0.0,0.0,1.0,596.077,1.0,6.0,0.0,1.01106,0.971974
White,13,Right,18,Female,Yes,English,A,8,1,16,0,180.0,1.0,1.0,822.417,1.0,7.0,0.0,1.15316,0.829813
White,13,Right,18,Female,Yes,English,A,9,0,8,0,180.0,1.0,1.0,861.434,1.0,8.0,0.0,1.08707,0.904489
White,13,Right,18,Female,Yes,English,A,10,0,8,4,0.0,0.0,1.0,586.966,1.0,9.0,0.0,1.08282,0.915213
White,13,Right,18,Female,Yes,English,A,11,1,8,4,0.0,0.0,1.0,955.096,1.0,10.0,0.0,1.11541,0.918996
White,13,Right,18,Female,Yes,English,A,12,0,4,16,180.0,1.0,1.0,666.431,1.0,11.0,0.0,1.18611,0.815736
White,13,Right,18,Female,Yes,English,A,13,1,4,8,0.0,0.0,1.0,653.408,1.0,12.0,0.0,1.0606,0.95079
White,13,Right,18,Female,Yes,English,A,14,1,0,0,0.0,0.0,1.0,442.147,1.0,13.0,0.0,1.01256,0.966144
White,13,Right,18,Female,Yes,English,A,15,1,0,8,0.0,0.0,1.0,698.156,1.0,14.0,0.0,1.02547,0.882687
White,13,Right,18,Female,Yes,English,A,16,1,8,8,180.0,1.0,1.0,783.043,1.0,15.0,0.0,1.06832,0.994765
White,13,Right,18,Female,Yes,English,A,17,0,0,8,180.0,1.0,1.0,859.064,1.0,16.0,0.0,1.09099,0.843211
White,13,Right,18,Female,Yes,English,A,18,1,0,16,0.0,0.0,1.0,685.595,1.0,17.0,0.0,1.19498,0.901084
White,13,Right,18,Female,Yes,English,A,19,0,8,8,180.0,1.0,1.0,834.192,1.0,18.0,0.0,1.17451,0.870488
White,13,Right,18,Female,Yes,English,A,20,1,16,16,0.0,1.0,0.0,757.66,1.0,19.0,0.0,1.04808,0.927293
White,13,Right,18,Female,Yes,English,A,21,1,4,4,180.0,1.0,1.0,714.863,1.0,20.0,0.0,1.04424,0.845743
White,13,Right,18,Female,Yes,English,A,22,0,16,8,180.0,1.0,1.0,713.797,1.0,21.0,0.0,1.17171,0.804219
White,13,Right,18,Female,Yes,English,A,23,0,0,4,0.0,0.0,1.0,794.014,1.0,22.0,0.0,1.07758,0.829627
White,13,Right,18,Female,Yes,English,A,24,0,0,0,180.0,1.0,1.0,773.025,1.0,23.0,0.0,1.08661,0.873636
White,13,Right,18,Female,Yes,English,A,25,0,8,16,0.0,0.0,1.0,658.351,1.0,24.0,0.0,1.07792,0.926456
White,13,Right,18,Female,Yes,English,A,26,0,16,16,0.0,0.0,1.0,674.431,1.0,25.0,0.0,1.18833,0.989624
White,13,Right,18,Female,Yes,English,A,27,1,8,16,180.0,1.0,1.0,743.145,1.0,26.0,0.0,1.03489,0.878879
White,13,Right,18,Female,Yes,English,A,28,0,4,4,180.0,1.0,1.0,937.275,1.0,27.0,0.0,1.05703,0.860881
White,13,Right,18,Female,Yes,English,A,29,1,0,4,0.0,0.0,1.0,565.642,1.0,28.0,0.0,1.19177,0.970901
