Ethnicity,Subject Number,Preferred Hand,Age,Gender,Color blind,First Language,Room,TrialNumber,background,turtles,tortoises,target_id,resp,hit,rt,ran,order,block,iti,fix_duration
Asian,7,Right,21,Male,Yes,English,A,1,0,16,4,0.0,0.0,1.0,1110.35,1.0,0.0,0.0,1.08768,0.820431
Asian,7,Right,21,Male,Yes,English,A,2,0,0,16,0.0,0.0,1.0,828.205,1.0,1.0,0.0,1.01883,0.875005
Asian,7,Right,21,Male,Yes,English,A,3,1,4,16,180.0,1.0,1.0,734.838,1.0,2.0,0.0,1.00101,0.956072
Asian,7,Right,21,Male,Yes,English,A,4,1,8,0,180.0,1.0,1.0,1201.73,1.0,3.0,0.0,1.10142,0.89686
Asian,7,Right,21,Male,Yes,English,A,5,1,16,0,0.0,0.0,1.0,662.154,1.0,4.0,0.0,1.16112,0.810647
Asian,7,Right,21,Male,Yes,English,A,6,1,4,0,0.0,0.0,1.0,979.094,1.0,5.0,0.0,1.10031,0.873721
Asian,7,Right,21,Male,Yes,English,A,7,0,4,8,0.0,0.0,1.0,952.514,1.0,6.0,0.0,1.17508,0.927444
Asian,7,Right,21,Male,Yes,English,A,8,1,0,8,180.0,1.0,1.0,1122.64,1.0,7.0,0.0,1.17719,0.855609
Asian,7,Right,21,Male,Yes,English,A,9,0,8,16,180.0,1.0,1.0,940.396,1.0,8.0,0.0,1.15052,0.8047
Asian,7,Right,21,Male,Yes,English,A,10,0,8,4,180.0,1.0,1.0,916.026,1.0,9.0,0.0,1.07376,0.835148
Asian,7,Right,21,Male,Yes,English,A,11,0,4,16,0.0,0.0,1.0,813.243,1.0,10.0,0.0,1.12479,0.885855
Asian,7,Right,21,Male,Yes,English,A,12,0,0,4,0.0,0.0,1.0,853.797,1.0,11.0,0.0,1.19955,0.93162
Asian,7,Right,21,Male,Yes,English,A,13,0,0,0,0.0,0.0,1.0,684.315,1.0,12.0,0.0,1.12491,0.819403
Asian,7,Right,21,Male,Yes,English,A,14,1,16,8,180.0,1.0,1.0,1313.98,1.0,13.0,0.0,1.13153,0.945585
Asian,7,Right,21,Male,Yes,English,A,15,1,8,16,180.0,1.0,1.0,1174.97,1.0,14.0,0.0,1.17921,0.983305
Asian,7,Right,21,Male,Yes,English,A,16,1,0,16,0.0,0.0,1.0,595.323,1.0,15.0,0.0,1.1165,0.827666
Asian,7,Right,21,Male,Yes,English,A,17,0,0,8,180.0,1.0,1.0,632.931,1.0,16.0,0.0,1.04241,0.90372
Asian,7,Right,21,Male,Yes,English,A,18,1,4,4,180.0,1.0,1.0,536.24,1.0,17.0,0.0,1.01841,0.975952
Asian,7,Right,21,Male,Yes,English,A,19,0,16,8,180.0,1.0,1.0,634.971,1.0,18.0,0.0,1.14829,0.951416
Asian,7,Right,21,Male,Yes,English,A,20,0,16,0,0.0,0.0,1.0,1046.93,1.0,19.0,0.0,1.1607,0.884757
Asian,7,Right,21,Male,Yes,English,A,21,1,8,8,0.0,0.0,1.0,531.776,1.0,20.0,0.0,1.06668,0.972289
Asian,7,Right,21,Male,Yes,English,A,22,1,8,4,180.0,1.0,1.0,574.222,1.0,21.0,0.0,1.05543,0.956567
Asian,7,Right,21,Male,Yes,English,A,23,1,0,4,180.0,1.0,1.0,1065.31,1.0,22.0,0.0,1.07925,0.962417
Asian,7,Right,21,Male,Yes,English,A,24,0,4,0,180.0,1.0,1.0,501.648,1.0,23.0,0.0,1.19825,0.924406
Asian,7,Right,21,Male,Yes,English,A,25,1,16,16,0.0,0.0,1.0,683.775,1.0,24.0,0.0,1.09585,0.83732
Asian,7,Right,21,Male,Yes,English,A,26,0,8,8,0.0,0.0,1.0,863.694,1.0,25.0,0.0,1.04116,0.936501
Asian,7,Right,21,Male,Yes,English,A,27,0,16,16,180.0,1.0,1.0,1002.72,1.0,26.0,0.0,1.18318,0.965463
Asian,7,Right,21,Male,Yes,English,A,28,1,0,0,180.0,1.0,1.0,566.287,1.0,27.0,0.0,1.0524,0.885605
Asian,7,Right,21,Male,Yes,English,A,29,1,16,4,0.0,0.0,1.0,763.634,1.0,28.0,0.0,1.12159,0.972744
Asian,7,Right,21,Male,Yes,English,A,30,1,4,8,180.0,1.0,1.0,1043.45,1.0,29.0,0.0,1.07204,0.934524
Asian,7,Right,21,Male,Yes,English,A,31,0,8,0,0.0,0.0,1.0,752.799,1.0,30.0,0.0,1.11332,0.894908
Asian,7,Right,21,Male,Yes,English,A,32,0,4,4,0.0,0.0,1.0,1027.1,1.0,31.0,0.0,1.01015,0.98148
Asian,7,Right,21,Male,Yes,English,A,33,0,8,4,180.0,1.0,1.0,980.618,1.0,32.0,1.0,1.09092,0.826322
Asian,7,Right,21,Male,Yes,English,A,34,1,16,8,180.0,1.0,1.0,1133.1,1.0,33.0,1.0,1.10579,0.980197
Asian,7,Right,21,Male,Yes,English,A,35,1,8,16,180.0,1.0,1.0,565.685,1.0,34.0,1.0,1.08584,0.800291
Asian,7,Right,21,Male,Yes,English,A,36,0,4,16,0.0,0.0,1.0,886.56,1.0,35.0,1.0,1.04809,0.952344
Asian,7,Right,21,Male,Yes,English,A,37,0,16,8,0.0,0.0,1.0,481.09,1.0,36.0,1.0,1.19708,0.858823
Asian,7,Right,21,Male,Yes,English,A,38,1,4,4,0.0,0.0,1.0,859.596,1.0,37.0,1.0,1.06363,0.985153
Asian,7,Right,21,Male,Yes,English,A,39,1,0,4,0.0,0.0,1.0,726.399,1.0,38.0,1.0,1.05118,0.949002
Asian,7,Right,21,Male,Yes,English,A,40,1,16,0,180.0,1.0,1.0,628.327,1.0,39.0,1.0,1.00802,0.947127
Asian,7,Right,21,Male,Yes,English,A,41,1,4,0,180.0,1.0,1.0,518.429,1.0,40.0,1.0,1.13246,0.964698
Asian,7,Right,21,Male,Yes,English,A,42,0,0,4,180.0,1.0,1.0,643.826,1.0,41.0,1.0,1.07644,0.904502
Asian,7,Right,21,Male,Yes,English,A,43,1,8,8,0.0,0.0,1.0,704.909,1.0,42.0,1.0,1.19547,0.926591
Asian,7,Right,21,Male,Yes,English,A,44,0,0,16,0.0,0.0,1.0,1097.46,1.0,43.0,1.0,1.18376,0.963749
