Ethnicity,Subject Number,Preferred Hand,Age,Gender,Color blind,First Language,Room,TrialNumber,background,turtles,tortoises,target_id,resp,hit,rt,ran,order,block,iti,fix_duration
Asian,16,Right,21,Female,Yes,Mandarin,D,1,1,4,16,0.0,0.0,1.0,1618.07,1.0,0.0,0.0,1.01013,0.872844
Asian,16,Right,21,Female,Yes,Mandarin,D,2,0,8,16,0.0,0.0,1.0,934.447,1.0,1.0,0.0,1.15813,0.872083
Asian,16,Right,21,Female,Yes,Mandarin,D,3,0,16,8,180.0,1.0,1.0,1121.86,1.0,2.0,0.0,1.18687,0.804475
Asian,16,Right,21,Female,Yes,Mandarin,D,4,1,4,0,0.0,0.0,1.0,1032.67,1.0,3.0,0.0,1.16278,0.820322
Asian,16,Right,21,Female,Yes,Mandarin,D,5,0,8,0,0.0,0.0,1.0,1163.05,1.0,4.0,0.0,1.13202,0.85813
Asian,16,Right,21,Female,Yes,Mandarin,D,6,1,16,16,180.0,1.0,1.0,2428.69,1.0,5.0,0.0,1.14298,0.944451
Asian,16,Right,21,Female,Yes,Mandarin,D,7,1,16,4,180.0,1.0,1.0,1308.15,1.0,6.0,0.0,1.13493,0.877887
Asian,16,Right,21,Female,Yes,Mandarin,D,8,1,16,8,0.0,0.0,1.0,1040.38,1.0,7.0,0.0,1.18232,0.931786
Asian,16,Right,21,Female,Yes,Mandarin,D,9,0,16,0,180.0,1.0,1.0,1370.81,1.0,8.0,0.0,1.17577,0.982434
Asian,16,Right,21,Female,Yes,Mandarin,D,10,0,4,8,0.0,0.0,1.0,1352.02,1.0,9.0,0.0,1.14465,0.940163
Asian,16,Right,21,Female,Yes,Mandarin,D,11,1,8,16,0.0,0.0,1.0,1357.3,1.0,10.0,0.0,1.03713,0.985956
Asian,16,Right,21,Female,Yes,Mandarin,D,12,0,0,16,180.0,1.0,1.0,915.369,1.0,11.0,0.0,1.15954,0.98893
Asian,16,Right,21,Female,Yes,Mandarin,D,13,0,16,4,180.0,1.0,1.0,930.764,1.0,12.0,0.0,1.00405,0.973941
Asian,16,Right,21,Female,Yes,Mandarin,D,14,1,16,0,0.0,0.0,1.0,1246.99,1.0,13.0,0.0,1.00275,0.850518
Asian,16,Right,21,Female,Yes,Mandarin,D,15,1,0,0,0.0,0.0,1.0,895.386,1.0,14.0,0.0,1.09816,0.999217
Asian,16,Right,21,Female,Yes,Mandarin,D,16,0,8,8,0.0,0.0,1.0,1303.31,1.0,15.0,0.0,1.19655,0.834212
Asian,16,Right,21,Female,Yes,Mandarin,D,17,1,0,8,0.0,0.0,1.0,944.932,1.0,16.0,0.0,1.04573,0.809009
Asian,16,Right,21,Female,Yes,Mandarin,D,18,0,0,0,0.0,0.0,1.0,912.339,1.0,17.0,0.0,1.06082,0.877741
Asian,16,Right,21,Female,Yes,Mandarin,D,19,0,4,16,180.0,1.0,1.0,913.14,1.0,18.0,0.0,1.0569,0.951402
Asian,16,Right,21,Female,Yes,Mandarin,D,20,1,0,16,180.0,1.0,1.0,698.521,1.0,19.0,0.0,1.13347,0.931094
Asian,16,Right,21,Female,Yes,Mandarin,D,21,1,8,8,0.0,0.0,1.0,1328.58,1.0,20.0,0.0,1.03545,0.902752
Asian,16,Right,21,Female,Yes,Mandarin,D,22,0,16,16,180.0,1.0,1.0,1168.97,1.0,21.0,0.0,1.14366,0.807251
Asian,16,Right,21,Female,Yes,Mandarin,D,23,0,4,0,180.0,1.0,1.0,1069.33,1.0,22.0,0.0,1.1276,0.83267
Asian,16,Right,21,Female,Yes,Mandarin,D,24,0,8,4,180.0,1.0,1.0,1093.06,1.0,23.0,0.0,1.11495,0.826708
Asian,16,Right,21,Female,Yes,Mandarin,D,25,1,4,4,180.0,1.0,1.0,764.038,1.0,24.0,0.0,1.09034,0.974634
Asian,16,Right,21,Female,Yes,Mandarin,D,26,1,8,0,0.0,0.0,1.0,1621.36,1.0,25.0,0.0,1.15873,0.897008
Asian,16,Right,21,Female,Yes,Mandarin,D,27,0,4,4,180.0,1.0,1.0,1198.28,1.0,26.0,0.0,1.14123,0.895416
Asian,16,Right,21,Female,Yes,Mandarin,D,28,1,4,8,180.0,1.0,1.0,1240.82,1.0,27.0,0.0,1.08843,0.958666
Asian,16,Right,21,Female,Yes,Mandarin,D,29,0,0,4,0.0,0.0,1.0,772.213,1.0,28.0,0.0,1.16045,0.930146
Asian,16,Right,21,Female,Yes,Mandarin,D,30,1,0,4,180.0,1.0,1.0,909.646,1.0,29.0,0.0,1.10064,0.931171
Asian,16,Right,21,Female,Yes,Mandarin,D,31,1,8,4,0.0,0.0,1.0,1303.92,1.0,30.0,0.0,1.01985,0.939767
Asian,16,Right,21,Female,Yes,Mandarin,D,32,0,0,8,180.0,1.0,1.0,1055.73,1.0,31.0,0.0,1.06093,0.800106
Asian,16,Right,21,Female,Yes,Mandarin,D,33,0,16,4,0.0,0.0,1.0,1151.43,1.0,32.0,1.0,1.0824,0.946677
Asian,16,Right,21,Female,Yes,Mandarin,D,34,0,4,16,180.0,1.0,1.0,833.866,1.0,33.0,1.0,1.18666,0.935333
Asian,16,Right,21,Female,Yes,Mandarin,D,35,0,4,8,0.0,0.0,1.0,820.419,1.0,34.0,1.0,1.18341,0.964668
Asian,16,Right,21,Female,Yes,Mandarin,D,36,1,16,0,0.0,0.0,1.0,900.117,1.0,35.0,1.0,1.19587,0.968564
Asian,16,Right,21,Female,Yes,Mandarin,D,37,1,4,16,180.0,1.0,1.0,1023.93,1.0,36.0,1.0,1.0715,0.878717
Asian,16,Right,21,Female,Yes,Mandarin,D,38,1,8,8,0.0,0.0,1.0,818.898,1.0,37.0,1.0,1.04453,0.872186
Asian,16,Right,21,Female,Yes,Mandarin,D,39,1,0,8,180.0,1.0,1.0,1216.68,1.0,38.0,1.0,1.06365,0.962684
Asian,16,Right,21,Female,Yes,Mandarin,D,40,0,8,0,180.0,1.0,1.0,1316.27,1.0,39.0,1.0,1.18156,0.937752
Asian,16,Right,21,Female,Yes,Mandarin,D,41,0,0,0,180.0,1.0,1.0,1012.54,1.0,40.0,1.0,1.11877,0.938325
Asian,16,Right,21,Female,Yes,Mandarin,D,42,1,8,16,0.0,0.0,1.0,935.047,1.0,41.0,1.0,1.04266,0.801779
Asian,16,Right,21,Female,Yes,Mandarin,D,43,0,0,4,0.0,0.0,1.0,824.892,1.0,42.0,1.0,1.08721,0.909991
Asian,16,Right,21,Female,Yes,Mandarin,D,44,1,4,0,180.0,1.0,1.0,813.042,1.0,43.0,1.0,1.07337,0.979599
Asian,16,Right,21,Female,Yes,Mandarin,D,45,0,8,4,0.0,0.0,1.0,968.947,1.0,44.0,1.0,1.11993,0.984756
Asian,16,Right,21,Female,Yes,Mandarin,D,46,1,0,16,0.0,0.0,1.0,933.971,1.0,45.0,1.0,1.10906,0.840272
Asian,16,Right,21,Female,Yes,Mandarin,D,47,1,16,16,0.0,0.0,1.0,921.534,1.0,46.0,1.0,1.16649,0.801728
Asian,16,Right,21,Female,Yes,Mandarin,D,48,1,4,4,180.0,1.0,1.0,819.274,1.0,47.0,1.0,1.11452,0.976902
Asian,16,Right,21,Female,Yes,Mandarin,D,49,1,8,0,180.0,1.0,1.0,1053.54,1.0,48.0,1.0,1.18224,0.871254
Asian,16,Right,21,Female,Yes,Mandarin,D,50,1,0,4,180.0,1.0,1.0,960.304,1.0,49.0,1.0,1.18994,0.895701
Asian,16,Right,21,Female,Yes,Mandarin,D,51,1,0,0,0.0,0.0,1.0,764.323,1.0,50.0,1.0,1.10647,0.945241
Asian,16,Right,21,Female,Yes,Mandarin,D,52,0,8,8,180.0,1.0,1.0,956.189,1.0,51.0,1.0,1.00253,0.839106
Asian,16,Right,21,Female,Yes,Mandarin,D,53,1,8,4,180.0,1.0,1.0,947.086,1.0,52.0,1.0,1.02497,0.814236
Asian,16,Right,21,Female,Yes,Mandarin,D,54,0,0,8,180.0,1.0,1.0,1124.06,1.0,53.0,1.0,1.03137,0.915227
Asian,16,Right,21,Female,Yes,Mandarin,D,55,0,4,0,0.0,0.0,1.0,996.637,1.0,54.0,1.0,1.12809,0.815793
Asian,16,Right,21,Female,Yes,Mandarin,D,56,0,4,4,0.0,0.0,1.0,977.692,1.0,55.0,1.0,1.14733,0.8072
Asian,16,Right,21,Female,Yes,Mandarin,D,57,1,16,8,0.0,0.0,1.0,1318.35,1.0,56.0,1.0,1.10036,0.925948
Asian,16,Right,21,Female,Yes,Mandarin,D,58,0,16,8,180.0,1.0,1.0,858.786,1.0,57.0,1.0,1.18629,0.811056
Asian,16,Right,21,Female,Yes,Mandarin,D,59,1,16,4,0.0,0.0,1.0,799.131,1.0,58.0,1.0,1.19837,0.943537
Asian,16,Right,21,Female,Yes,Mandarin,D,60,0,0,16,180.0,1.0,1.0,973.991,1.0,59.0,1.0,1.04687,0.823048
Asian,16,Right,21,Female,Yes,Mandarin,D,61,0,16,0,0.0,0.0,1.0,1257.51,1.0,60.0,1.0,1.07295,0.929219
Asian,16,Right,21,Female,Yes,Mandarin,D,62,0,8,16,180.0,1.0,1.0,877.538,1.0,61.0,1.0,1.10234,0.98418
Asian,16,Right,21,Female,Yes,Mandarin,D,63,0,16,16,0.0,0.0,1.0,921.33,1.0,62.0,1.0,1.14517,0.93405
Asian,16,Right,21,Female,Yes,Mandarin,D,64,1,4,8,180.0,1.0,1.0,1107.25,1.0,63.0,1.0,1.03768,0.913838
Asian,16,Right,21,Female,Yes,Mandarin,D,65,1,16,4,0.0,0.0,1.0,955.815,1.0,64.0,2.0,1.03822,0.854314
Asian,16,Right,21,Female,Yes,Mandarin,D,66,1,16,8,180.0,1.0,1.0,1025.87,1.0,65.0,2.0,1.06038,0.921487
Asian,16,Right,21,Female,Yes,Mandarin,D,67,0,16,4,0.0,0.0,1.0,1032.27,1.0,66.0,2.0,1.10613,0.960673
Asian,16,Right,21,Female,Yes,Mandarin,D,68,0,0,8,180.0,1.0,1.0,999.81,1.0,67.0,2.0,1.14492,0.874473
Asian,16,Right,21,Female,Yes,Mandarin,D,69,1,0,8,0.0,0.0,1.0,643.977,1.0,68.0,2.0,1.06608,0.949566
Asian,16,Right,21,Female,Yes,Mandarin,D,70,1,4,8,180.0,1.0,1.0,888.046,1.0,69.0,2.0,1.14044,0.977396
Asian,16,Right,21,Female,Yes,Mandarin,D,71,0,4,0,0.0,0.0,1.0,925.127,1.0,70.0,2.0,1.15035,0.817408
Asian,16,Right,21,Female,Yes,Mandarin,D,72,1,0,0,0.0,0.0,1.0,712.692,1.0,71.0,2.0,1.18363,0.902409
Asian,16,Right,21,Female,Yes,Mandarin,D,73,1,16,0,0.0,0.0,1.0,1109.27,1.0,72.0,2.0,1.17218,0.815022
Asian,16,Right,21,Female,Yes,Mandarin,D,74,1,8,0,180.0,1.0,1.0,670.733,1.0,73.0,2.0,1.02547,0.924982
Asian,16,Right,21,Female,Yes,Mandarin,D,75,0,16,0,0.0,0.0,1.0,755.641,1.0,74.0,2.0,1.08267,0.967751
Asian,16,Right,21,Female,Yes,Mandarin,D,76,0,0,4,180.0,1.0,1.0,834.813,1.0,75.0,2.0,1.02577,0.977247
Asian,16,Right,21,Female,Yes,Mandarin,D,77,1,4,4,0.0,0.0,1.0,875.749,1.0,76.0,2.0,1.04942,0.939111
Asian,16,Right,21,Female,Yes,Mandarin,D,78,0,4,4,180.0,1.0,1.0,1217.89,1.0,77.0,2.0,1.05507,0.958644
Asian,16,Right,21,Female,Yes,Mandarin,D,79,1,0,16,0.0,0.0,1.0,796.815,1.0,78.0,2.0,1.04062,0.811857
Asian,16,Right,21,Female,Yes,Mandarin,D,80,1,16,16,0.0,0.0,1.0,948.205,1.0,79.0,2.0,1.03441,0.910922
Asian,16,Right,21,Female,Yes,Mandarin,D,81,1,0,4,0.0,0.0,1.0,869.636,1.0,80.0,2.0,1.1753,0.917519
Asian,16,Right,21,Female,Yes,Mandarin,D,82,1,8,16,180.0,1.0,1.0,840.929,1.0,81.0,2.0,1.14162,0.886872
Asian,16,Right,21,Female,Yes,Mandarin,D,83,1,8,8,180.0,1.0,1.0,967.841,1.0,82.0,2.0,1.016,0.895256
Asian,16,Right,21,Female,Yes,Mandarin,D,84,0,16,16,0.0,0.0,1.0,1883.12,1.0,83.0,2.0,1.02837,0.852494
Asian,16,Right,21,Female,Yes,Mandarin,D,85,0,8,4,180.0,1.0,1.0,1038.82,1.0,84.0,2.0,1.17711,0.993362
Asian,16,Right,21,Female,Yes,Mandarin,D,86,0,8,0,180.0,1.0,1.0,1048.27,1.0,85.0,2.0,1.18516,0.983163
Asian,16,Right,21,Female,Yes,Mandarin,D,87,0,8,8,180.0,1.0,1.0,1262.14,1.0,86.0,2.0,1.18168,0.895535
Asian,16,Right,21,Female,Yes,Mandarin,D,88,0,8,16,180.0,1.0,1.0,925.726,1.0,87.0,2.0,1.06034,0.849561
Asian,16,Right,21,Female,Yes,Mandarin,D,89,0,0,16,180.0,1.0,1.0,678.672,1.0,88.0,2.0,1.11507,0.838691
Asian,16,Right,21,Female,Yes,Mandarin,D,90,0,0,0,180.0,1.0,1.0,738.914,1.0,89.0,2.0,1.07359,0.969316
Asian,16,Right,21,Female,Yes,Mandarin,D,91,0,4,16,0.0,0.0,1.0,981.349,1.0,90.0,2.0,1.00459,0.82555
Asian,16,Right,21,Female,Yes,Mandarin,D,92,0,4,8,0.0,0.0,1.0,1074.38,1.0,91.0,2.0,1.01493,0.80342
Asian,16,Right,21,Female,Yes,Mandarin,D,93,1,4,0,180.0,1.0,1.0,1057.39,1.0,92.0,2.0,1.02104,0.852272
Asian,16,Right,21,Female,Yes,Mandarin,D,94,1,8,4,180.0,1.0,1.0,979.744,1.0,93.0,2.0,1.0031,0.873426
Asian,16,Right,21,Female,Yes,Mandarin,D,95,0,16,8,0.0,0.0,1.0,1040.14,1.0,94.0,2.0,1.13343,0.913924
Asian,16,Right,21,Female,Yes,Mandarin,D,96,1,4,16,0.0,0.0,1.0,1201.42,1.0,95.0,2.0,1.01967,0.862857
Asian,16,Right,21,Female,Yes,Mandarin,D,97,1,16,16,180.0,1.0,1.0,891.376,1.0,96.0,3.0,1.14093,0.803731
Asian,16,Right,21,Female,Yes,Mandarin,D,98,0,4,16,0.0,0.0,1.0,1281.42,1.0,97.0,3.0,1.1313,0.893721
Asian,16,Right,21,Female,Yes,Mandarin,D,99,0,8,0,0.0,0.0,1.0,726.885,1.0,98.0,3.0,1.05763,0.986694
Asian,16,Right,21,Female,Yes,Mandarin,D,100,0,4,0,180.0,1.0,1.0,1112.05,1.0,99.0,3.0,1.16684,0.852979
Asian,16,Right,21,Female,Yes,Mandarin,D,101,1,8,8,0.0,0.0,1.0,1017.87,1.0,100.0,3.0,1.09357,0.845326
Asian,16,Right,21,Female,Yes,Mandarin,D,102,1,16,8,0.0,0.0,1.0,799.789,1.0,101.0,3.0,1.13928,0.951357
Asian,16,Right,21,Female,Yes,Mandarin,D,103,1,0,0,180.0,1.0,1.0,693.962,1.0,102.0,3.0,1.16115,0.861379
Asian,16,Right,21,Female,Yes,Mandarin,D,104,1,4,4,180.0,1.0,1.0,692.002,1.0,103.0,3.0,1.19479,0.824032
Asian,16,Right,21,Female,Yes,Mandarin,D,105,1,8,16,180.0,1.0,1.0,1572.7,1.0,104.0,3.0,1.00302,0.92764
Asian,16,Right,21,Female,Yes,Mandarin,D,106,0,8,4,0.0,0.0,1.0,716.711,1.0,105.0,3.0,1.05297,0.899503
Asian,16,Right,21,Female,Yes,Mandarin,D,107,0,0,0,0.0,0.0,1.0,1093.68,1.0,106.0,3.0,1.18135,0.811056
Asian,16,Right,21,Female,Yes,Mandarin,D,108,0,4,4,180.0,1.0,1.0,1255.25,1.0,107.0,3.0,1.14148,0.88347
Asian,16,Right,21,Female,Yes,Mandarin,D,109,1,4,8,180.0,1.0,1.0,693.654,1.0,108.0,3.0,1.0262,0.902001
Asian,16,Right,21,Female,Yes,Mandarin,D,110,0,16,0,0.0,0.0,1.0,862.126,1.0,109.0,3.0,1.17565,0.939037
Asian,16,Right,21,Female,Yes,Mandarin,D,111,1,16,4,180.0,1.0,1.0,672.871,1.0,110.0,3.0,1.09857,0.815735
Asian,16,Right,21,Female,Yes,Mandarin,D,112,1,0,16,180.0,1.0,1.0,883.125,1.0,111.0,3.0,1.05779,0.967283
