Ethnicity,Subject Number,Preferred Hand,Age,Gender,Color blind,First Language,Room,TrialNumber,background,turtles,tortoises,target_id,resp,hit,rt,ran,order,block,iti,fix_duration
White,17,Right,19,Male,No,English,D,1,0,4,0,180.0,1.0,1.0,701.81,1.0,0.0,0.0,1.09841,0.936768
White,17,Right,19,Male,No,English,D,2,0,8,0,180.0,1.0,1.0,962.342,1.0,1.0,0.0,1.0214,0.912316
White,17,Right,19,Male,No,English,D,3,0,0,0,0.0,0.0,1.0,595.602,1.0,2.0,0.0,1.12351,0.81936
White,17,Right,19,Male,No,English,D,4,1,4,16,0.0,0.0,1.0,729.964,1.0,3.0,0.0,1.03178,0.999522
White,17,Right,19,Male,No,English,D,5,0,16,4,0.0,0.0,1.0,1301.6,1.0,4.0,0.0,1.07717,0.847589
White,17,Right,19,Male,No,English,D,6,0,16,8,0.0,0.0,1.0,1029.38,1.0,5.0,0.0,1.17044,0.984191
White,17,Right,19,Male,No,English,D,7,0,0,8,180.0,1.0,1.0,877.286,1.0,6.0,0.0,1.14734,0.883338
White,17,Right,19,Male,No,English,D,8,0,8,16,180.0,1.0,1.0,846.09,1.0,7.0,0.0,1.09066,0.88226
White,17,Right,19,Male,No,English,D,9,1,16,8,180.0,1.0,1.0,734.496,1.0,8.0,0.0,1.14968,0.852567
White,17,Right,19,Male,No,English,D,10,1,16,16,180.0,1.0,1.0,1141.64,1.0,9.0,0.0,1.18106,0.942872
White,17,Right,19,Male,No,English,D,11,0,0,4,0.0,0.0,1.0,1002.06,1.0,10.0,0.0,1.13309,0.972831
White,17,Right,19,Male,No,English,D,12,1,8,8,180.0,1.0,1.0,928.915,1.0,11.0,0.0,1.04873,0.93158
White,17,Right,19,Male,No,English,D,13,1,4,4,0.0,0.0,1.0,851.582,1.0,12.0,0.0,1.0383,0.929162
White,17,Right,19,Male,No,English,D,14,1,4,8,180.0,1.0,1.0,643.878,1.0,13.0,0.0,1.1892,0.8602
White,17,Right,19,Male,No,English,D,15,1,4,0,180.0,1.0,1.0,843.807,1.0,14.0,0.0,1.03101,0.951297
White,17,Right,19,Male,No,English,D,16,0,16,16,0.0,0.0,1.0,912.188,1.0,15.0,0.0,1.04958,0.913041
White,17,Right,19,Male,No,English,D,17,1,8,4,0.0,0.0,1.0,586.89,1.0,16.0,0.0,1.05891,0.908582
White,17,Right,19,Male,No,English,D,18,1,0,16,180.0,1.0,1.0,1181.59,1.0,17.0,0.0,1.15787,0.9079
White,17,Right,19,Male,No,English,D,19,0,8,8,0.0,0.0,1.0,814.544,1.0,18.0,0.0,1.10606,0.845148
White,17,Right,19,Male,No,English,D,20,1,16,0,0.0,1.0,0.0,724.81,1.0,19.0,0.0,1.11662,0.913456
White,17,Right,19,Male,No,English,D,21,1,0,8,180.0,1.0,1.0,725.444,1.0,20.0,0.0,1.04771,0.830146
White,17,Right,19,Male,No,English,D,22,0,16,0,0.0,0.0,1.0,702.914,1.0,21.0,0.0,1.00897,0.986587
White,17,Right,19,Male,No,English,D,23,0,4,4,0.0,0.0,1.0,1166.9,1.0,22.0,0.0,1.10384,0.93195
White,17,Right,19,Male,No,English,D,24,0,0,16,180.0,1.0,1.0,993.881,1.0,23.0,0.0,1.11899,0.916133
