Ethnicity,Subject Number,Preferred Hand,Age,Gender,Color blind,First Language,Room,TrialNumber,background,turtles,tortoises,target_id,resp,hit,rt,ran,order,block,iti,fix_duration
White,9,Right,19,Female,Yes,English,B,1,1,16,8,0.0,0.0,1.0,1145.28,1.0,0.0,0.0,1.10148,0.954032
White,9,Right,19,Female,Yes,English,B,2,0,4,4,0.0,0.0,1.0,1104.08,1.0,1.0,0.0,1.17733,0.894823
White,9,Right,19,Female,Yes,English,B,3,1,4,16,180.0,1.0,1.0,1015.95,1.0,2.0,0.0,1.02773,0.92539
White,9,Right,19,Female,Yes,English,B,4,1,0,16,0.0,0.0,1.0,758.694,1.0,3.0,0.0,1.19958,0.828804
White,9,Right,19,Female,Yes,English,B,5,1,16,0,180.0,1.0,1.0,788.295,1.0,4.0,0.0,1.12397,0.914832
White,9,Right,19,Female,Yes,English,B,6,1,8,16,0.0,0.0,1.0,733.375,1.0,5.0,0.0,1.09738,0.906275
White,9,Right,19,Female,Yes,English,B,7,1,16,4,180.0,1.0,1.0,653.477,1.0,6.0,0.0,1.11936,0.894759
White,9,Right,19,Female,Yes,English,B,8,0,0,16,0.0,0.0,1.0,1213.81,1.0,7.0,0.0,1.15932,0.882681
White,9,Right,19,Female,Yes,English,B,9,0,0,0,0.0,0.0,1.0,727.138,1.0,8.0,0.0,1.18259,0.948991
White,9,Right,19,Female,Yes,English,B,10,0,4,16,0.0,0.0,1.0,1038.06,1.0,9.0,0.0,1.08161,0.858087
White,9,Right,19,Female,Yes,English,B,11,1,0,4,180.0,1.0,1.0,777.264,1.0,10.0,0.0,1.10559,0.991808
White,9,Right,19,Female,Yes,English,B,12,1,4,8,0.0,0.0,1.0,1110.87,1.0,11.0,0.0,1.05231,0.824904
White,9,Right,19,Female,Yes,English,B,13,0,16,0,180.0,1.0,1.0,781.792,1.0,12.0,0.0,1.15655,0.876918
White,9,Right,19,Female,Yes,English,B,14,0,8,4,0.0,0.0,1.0,744.938,1.0,13.0,0.0,1.14713,0.85139
White,9,Right,19,Female,Yes,English,B,15,1,8,4,180.0,1.0,1.0,1139.24,1.0,14.0,0.0,1.02212,0.812298
White,9,Right,19,Female,Yes,English,B,16,0,0,8,180.0,1.0,1.0,1200.6,1.0,15.0,0.0,1.00329,0.905985
White,9,Right,19,Female,Yes,English,B,17,0,4,0,180.0,1.0,1.0,1380.99,1.0,16.0,0.0,1.19736,0.951613
White,9,Right,19,Female,Yes,English,B,18,0,16,16,0.0,0.0,1.0,1736.89,1.0,17.0,0.0,1.02089,0.951751
White,9,Right,19,Female,Yes,English,B,19,0,8,8,180.0,1.0,1.0,1691.28,1.0,18.0,0.0,1.15327,0.907037
White,9,Right,19,Female,Yes,English,B,20,1,0,0,0.0,0.0,1.0,1003.07,1.0,19.0,0.0,1.08538,0.901647
White,9,Right,19,Female,Yes,English,B,21,0,0,4,0.0,0.0,1.0,891.235,1.0,20.0,0.0,1.04224,0.857127
White,9,Right,19,Female,Yes,English,B,22,1,8,0,0.0,0.0,1.0,1016.01,1.0,21.0,0.0,1.19131,0.944151
White,9,Right,19,Female,Yes,English,B,23,0,8,0,180.0,1.0,1.0,1043.39,1.0,22.0,0.0,1.00176,0.855271
White,9,Right,19,Female,Yes,English,B,24,1,0,8,180.0,1.0,1.0,893.036,1.0,23.0,0.0,1.0855,0.835748
White,9,Right,19,Female,Yes,English,B,25,1,4,0,180.0,1.0,1.0,713.078,1.0,24.0,0.0,1.13503,0.863682
White,9,Right,19,Female,Yes,English,B,26,1,16,16,180.0,1.0,1.0,1071.68,1.0,25.0,0.0,1.17136,0.904932
White,9,Right,19,Female,Yes,English,B,27,0,8,16,0.0,0.0,1.0,959.718,1.0,26.0,0.0,1.02965,0.984675
White,9,Right,19,Female,Yes,English,B,28,0,4,8,180.0,1.0,1.0,1566.68,1.0,27.0,0.0,1.00974,0.903592
White,9,Right,19,Female,Yes,English,B,29,0,16,8,0.0,0.0,1.0,826.752,1.0,28.0,0.0,1.13813,0.999656
White,9,Right,19,Female,Yes,English,B,30,1,4,4,0.0,0.0,1.0,1136.37,1.0,29.0,0.0,1.02815,0.964677
White,9,Right,19,Female,Yes,English,B,31,0,16,4,180.0,1.0,1.0,2048.59,1.0,30.0,0.0,1.15019,0.879292
White,9,Right,19,Female,Yes,English,B,32,1,8,8,180.0,1.0,1.0,704.912,1.0,31.0,0.0,1.06103,0.958932
White,9,Right,19,Female,Yes,English,B,33,1,8,16,180.0,1.0,1.0,1280.45,1.0,32.0,1.0,1.08255,0.82324
White,9,Right,19,Female,Yes,English,B,34,1,0,16,180.0,1.0,1.0,1785.45,1.0,33.0,1.0,1.13912,0.917883
White,9,Right,19,Female,Yes,English,B,35,1,4,4,180.0,1.0,1.0,949.545,1.0,34.0,1.0,1.12009,0.827686
White,9,Right,19,Female,Yes,English,B,36,1,16,16,180.0,1.0,1.0,1357.12,1.0,35.0,1.0,1.16917,0.991442
White,9,Right,19,Female,Yes,English,B,37,1,8,8,180.0,1.0,1.0,1117.94,1.0,36.0,1.0,1.16339,0.898799
White,9,Right,19,Female,Yes,English,B,38,0,16,8,0.0,0.0,1.0,1711.03,1.0,37.0,1.0,1.08097,0.841683
White,9,Right,19,Female,Yes,English,B,39,0,16,16,0.0,0.0,1.0,858.376,1.0,38.0,1.0,1.08734,0.853956
White,9,Right,19,Female,Yes,English,B,40,0,4,16,0.0,0.0,1.0,873.117,1.0,39.0,1.0,1.16823,0.96237
White,9,Right,19,Female,Yes,English,B,41,0,0,4,0.0,0.0,1.0,707.909,1.0,40.0,1.0,1.09811,0.99087
White,9,Right,19,Female,Yes,English,B,42,0,8,16,0.0,0.0,1.0,984.206,1.0,41.0,1.0,1.09823,0.82639
White,9,Right,19,Female,Yes,English,B,43,0,4,4,0.0,0.0,1.0,878.579,1.0,42.0,1.0,1.02894,0.982289
White,9,Right,19,Female,Yes,English,B,44,0,8,4,180.0,1.0,1.0,695.379,1.0,43.0,1.0,1.06829,0.825898
White,9,Right,19,Female,Yes,English,B,45,1,16,8,180.0,1.0,1.0,2047.72,1.0,44.0,1.0,1.12326,0.880087
White,9,Right,19,Female,Yes,English,B,46,1,4,0,0.0,0.0,1.0,887.46,1.0,45.0,1.0,1.08212,0.948592
