Ethnicity,Subject Number,Preferred Hand,Age,Gender,Color blind,First Language,Room,TrialNumber,background,turtles,tortoises,target_id,resp,hit,rt,ran,order,block,iti,fix_duration
White,12,Right,19,Male,Yes,English,B,1,0,8,8,0.0,0.0,1.0,752.321,1.0,0.0,0.0,1.1572,0.962992
White,12,Right,19,Male,Yes,English,B,2,1,4,4,180.0,1.0,1.0,752.228,1.0,1.0,0.0,1.12225,0.826018
White,12,Right,19,Male,Yes,English,B,3,1,16,0,180.0,1.0,1.0,1198.04,1.0,2.0,0.0,1.18578,0.85242
White,12,Right,19,Male,Yes,English,B,4,1,8,4,0.0,0.0,1.0,773.839,1.0,3.0,0.0,1.13351,0.842252
White,12,Right,19,Male,Yes,English,B,5,0,4,8,180.0,1.0,1.0,1704.64,1.0,4.0,0.0,1.1944,0.864766
White,12,Right,19,Male,Yes,English,B,6,0,0,0,180.0,1.0,1.0,2003.54,1.0,5.0,0.0,1.0224,0.994417
White,12,Right,19,Male,Yes,English,B,7,1,16,16,180.0,1.0,1.0,1608.9,1.0,6.0,0.0,1.19285,0.90749
White,12,Right,19,Male,Yes,English,B,8,0,8,16,0.0,0.0,1.0,993.771,1.0,7.0,0.0,1.03242,0.857199
White,12,Right,19,Male,Yes,English,B,9,0,0,8,0.0,0.0,1.0,1047.89,1.0,8.0,0.0,1.10277,0.980739
White,12,Right,19,Male,Yes,English,B,10,0,16,8,180.0,1.0,1.0,772.555,1.0,9.0,0.0,1.03625,0.909802
White,12,Right,19,Male,Yes,English,B,11,0,4,16,180.0,1.0,1.0,689.03,1.0,10.0,0.0,1.09151,0.989149
White,12,Right,19,Male,Yes,English,B,12,1,8,8,0.0,0.0,1.0,701.487,1.0,11.0,0.0,1.09934,0.935665
White,12,Right,19,Male,Yes,English,B,13,1,16,8,180.0,1.0,1.0,1233.93,1.0,12.0,0.0,1.14061,0.899488
White,12,Right,19,Male,Yes,English,B,14,0,8,0,0.0,0.0,1.0,917.826,1.0,13.0,0.0,1.08609,0.904385
White,12,Right,19,Male,Yes,English,B,15,0,8,4,0.0,0.0,1.0,717.673,1.0,14.0,0.0,1.08178,0.975782
White,12,Right,19,Male,Yes,English,B,16,0,4,4,0.0,0.0,1.0,682.408,1.0,15.0,0.0,1.09193,0.872422
White,12,Right,19,Male,Yes,English,B,17,0,16,0,180.0,1.0,1.0,778.326,1.0,16.0,0.0,1.01557,0.961513
White,12,Right,19,Male,Yes,English,B,18,1,0,4,0.0,0.0,1.0,649.143,1.0,17.0,0.0,1.14143,0.940027
White,12,Right,19,Male,Yes,English,B,19,0,4,0,180.0,1.0,1.0,587.547,1.0,18.0,0.0,1.18072,0.966769
White,12,Right,19,Male,Yes,English,B,20,1,16,4,180.0,1.0,1.0,774.57,1.0,19.0,0.0,1.02516,0.848005
White,12,Right,19,Male,Yes,English,B,21,1,4,8,180.0,0.0,0.0,769.591,1.0,20.0,0.0,1.0615,0.837897
White,12,Right,19,Male,Yes,English,B,22,1,4,16,0.0,0.0,1.0,1083.26,1.0,21.0,0.0,1.08373,0.832305
White,12,Right,19,Male,Yes,English,B,23,0,0,16,0.0,0.0,1.0,867.128,1.0,22.0,0.0,1.14177,0.959052
White,12,Right,19,Male,Yes,English,B,24,1,0,0,180.0,1.0,1.0,754.265,1.0,23.0,0.0,1.16296,0.94053
